route,from_a,to_b,change,totaltime,route_min,full_route,stop1,stop2,stop3,stop4,stop5,count,geom,interval_t
Celovce (Cselej) - Bodrogkeresztúr,Celovce,Bodrogkeresztúr,3,03:54:00,234,"{Celovce,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Bodrogkeresztúr}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,5,NULL,over 180 min
Cerhov - Bodrogkeresztúr,Cerhov,Bodrogkeresztúr,3,03:23:00,203,"{Cerhov,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Bodrogkeresztúr}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,4,NULL,over 180 min
Kalsa - Bodrogkeresztúr,Kalsa,Bodrogkeresztúr,3,03:04:00,184,"{Kalsa,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Bodrogkeresztúr}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,5,NULL,over 180 min
Obisovce - Mád,Obisovce,Mád,3,03:07:00,187,"{Obisovce,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Mád}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Slanec - Mád,Slanec,Mád,3,03:07:00,187,"{Slanec,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Mád}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Slovenske Nove Mesto (Kisújhely) - Mád,Slovenske Nove Mesto,Mád,3,03:39:00,219,"{""Slovenske Nove Mesto"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Mád}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,5,NULL,over 180 min
Somotor - Mád,Somotor,Mád,3,03:54:00,234,"{Somotor,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Mád}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Stanca - Mád,Stanca,Mád,4,03:49:00,229,"{Stanca,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Mád}",Michalany,Kosice,Miskolc-Tiszai,Szerencs,NULL,1,NULL,over 180 min
Kosice (Kassa) - Sátoraljaújhely,Kosice,Sátoraljaújhely,1,02:35:00,155,"{Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sátoraljaújhely}",Miskolc-Tiszai,NULL,NULL,NULL,NULL,1,NULL,from 120 to 180 min
Streda Nad Bodrogom (Bodrogszerdahely) - Mád,Streda Nad Bodrogom,Mád,3,03:48:00,228,"{""Streda Nad Bodrogom"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Mád}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,6,NULL,over 180 min
Michalany (Alsómihályi) - Olaszliszka-Tolcsva,Michalany,Olaszliszka-Tolcsva,2,03:18:00,198,"{Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Olaszliszka-Tolcsva}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,2,NULL,over 180 min
Obisovce - Olaszliszka-Tolcsva,Obisovce,Olaszliszka-Tolcsva,3,03:09:00,189,"{Obisovce,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Olaszliszka-Tolcsva}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,2,NULL,over 180 min
Slovenske Nove Mesto (Kisújhely) - Olaszliszka-Tolcsva,Slovenske Nove Mesto,Olaszliszka-Tolcsva,2,03:30:00,210,"{""Slovenske Nove Mesto"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Olaszliszka-Tolcsva}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,2,NULL,over 180 min
Somotor - Olaszliszka-Tolcsva,Somotor,Olaszliszka-Tolcsva,2,03:45:00,225,"{Somotor,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Olaszliszka-Tolcsva}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,2,NULL,over 180 min
Stanca - Olaszliszka-Tolcsva,Stanca,Olaszliszka-Tolcsva,3,03:40:00,220,"{Stanca,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Olaszliszka-Tolcsva}",Michalany,Kosice,Miskolc-Tiszai,NULL,NULL,2,NULL,over 180 min
Streda Nad Bodrogom (Bodrogszerdahely) - Olaszliszka-Tolcsva,Streda Nad Bodrogom,Olaszliszka-Tolcsva,2,03:39:00,219,"{""Streda Nad Bodrogom"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Olaszliszka-Tolcsva}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,2,NULL,over 180 min
Trebisov - Olaszliszka-Tolcsva,Trebisov,Olaszliszka-Tolcsva,3,03:57:00,237,"{Trebisov,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Olaszliszka-Tolcsva}",Michalany,Kosice,Miskolc-Tiszai,NULL,NULL,2,NULL,over 180 min
Velaty - Olaszliszka-Tolcsva,Velaty,Olaszliszka-Tolcsva,3,03:32:00,212,"{Velaty,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Olaszliszka-Tolcsva}",Michalany,Kosice,Miskolc-Tiszai,NULL,NULL,2,NULL,over 180 min
Celovce (Cselej) - Rakamaz,Celovce,Rakamaz,2,03:34:00,214,"{Celovce,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Rakamaz}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Cerhov - Rakamaz,Cerhov,Rakamaz,2,03:23:00,203,"{Cerhov,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Rakamaz}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Kalsa - Rakamaz,Kalsa,Rakamaz,2,03:03:00,183,"{Kalsa,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Rakamaz}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Kuzmice - Rakamaz,Kuzmice,Rakamaz,2,03:09:00,189,"{Kuzmice,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Rakamaz}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Lastovce - Rakamaz,Lastovce,Rakamaz,3,03:27:00,207,"{Lastovce,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Rakamaz}",Michalany,Kosice,Miskolc-Tiszai,NULL,NULL,1,NULL,over 180 min
Mala Lodina - Rakamaz,Mala Lodina,Rakamaz,2,03:15:00,195,"{""Mala Lodina"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Rakamaz}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Michalany (Alsómihályi) - Rakamaz,Michalany,Rakamaz,2,03:16:00,196,"{Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Rakamaz}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Slovenske Nove Mesto (Kisújhely) - Rakamaz,Slovenske Nove Mesto,Rakamaz,2,03:28:00,208,"{""Slovenske Nove Mesto"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Rakamaz}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Somotor - Rakamaz,Somotor,Rakamaz,2,03:43:00,223,"{Somotor,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Rakamaz}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Stanca - Rakamaz,Stanca,Rakamaz,3,03:40:00,220,"{Stanca,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Rakamaz}",Michalany,Kosice,Miskolc-Tiszai,NULL,NULL,1,NULL,over 180 min
Streda Nad Bodrogom (Bodrogszerdahely) - Rakamaz,Streda Nad Bodrogom,Rakamaz,2,03:36:00,216,"{""Streda Nad Bodrogom"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Rakamaz}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Trebisov - Rakamaz,Trebisov,Rakamaz,2,03:43:00,223,"{Trebisov,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Rakamaz}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Velaty - Rakamaz,Velaty,Rakamaz,3,03:33:00,213,"{Velaty,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Rakamaz}",Michalany,Kosice,Miskolc-Tiszai,NULL,NULL,1,NULL,over 180 min
Velka Lodina - Rakamaz,Velka Lodina,Rakamaz,2,03:11:00,191,"{""Velka Lodina"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Rakamaz}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
