route,from_a,to_b,change,totaltime,route_min,full_route,stop1,stop2,stop3,stop4,stop5,count,geom,interval_t
Kuzmice - Sátoraljaújhely,Kuzmice,Sátoraljaújhely,2,03:29:00,209,"{Kuzmice,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sátoraljaújhely}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Lastovce - Sátoraljaújhely,Lastovce,Sátoraljaújhely,3,03:47:00,227,"{Lastovce,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sátoraljaújhely}",Michalany,Kosice,Miskolc-Tiszai,NULL,NULL,1,NULL,over 180 min
Mala Lodina - Sátoraljaújhely,Mala Lodina,Sátoraljaújhely,2,03:18:00,198,"{""Mala Lodina"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sátoraljaújhely}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Nizna Mysla - Sátoraljaújhely,Nizna Mysla,Sátoraljaújhely,2,03:02:00,182,"{""Nizna Mysla"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sátoraljaújhely}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Obisovce - Sátoraljaújhely,Obisovce,Sátoraljaújhely,3,03:31:00,211,"{Obisovce,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Sátoraljaújhely}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Ruskov - Sátoraljaújhely,Ruskov,Sátoraljaújhely,2,03:12:00,192,"{Ruskov,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sátoraljaújhely}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Slanec - Sátoraljaújhely,Slanec,Sátoraljaújhely,2,03:18:00,198,"{Slanec,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sátoraljaújhely}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Slovenske Nove Mesto (Kisújhely) - Sátoraljaújhely,Slovenske Nove Mesto,Sátoraljaújhely,2,03:50:00,230,"{""Slovenske Nove Mesto"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sátoraljaújhely}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Somotor - Sátoraljaújhely,Somotor,Sátoraljaújhely,2,04:05:00,245,"{Somotor,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sátoraljaújhely}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Stanca - Sátoraljaújhely,Stanca,Sátoraljaújhely,3,04:00:00,240,"{Stanca,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sátoraljaújhely}",Michalany,Kosice,Miskolc-Tiszai,NULL,NULL,1,NULL,over 180 min
Streda Nad Bodrogom (Bodrogszerdahely) - Sátoraljaújhely,Streda Nad Bodrogom,Sátoraljaújhely,2,03:59:00,239,"{""Streda Nad Bodrogom"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sátoraljaújhely}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Trebisov - Mád,Trebisov,Mád,3,03:29:00,209,"{Trebisov,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Mád}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Velaty - Mád,Velaty,Mád,4,03:41:00,221,"{Velaty,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Mád}",Michalany,Kosice,Miskolc-Tiszai,Szerencs,NULL,1,NULL,over 180 min
Velka Lodina - Mád,Velka Lodina,Mád,3,03:04:00,184,"{""Velka Lodina"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Mád}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Celovce (Cselej) - Olaszliszka-Tolcsva,Celovce,Olaszliszka-Tolcsva,2,03:56:00,236,"{Celovce,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Olaszliszka-Tolcsva}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,2,NULL,over 180 min
Cerhov - Olaszliszka-Tolcsva,Cerhov,Olaszliszka-Tolcsva,2,03:25:00,205,"{Cerhov,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Olaszliszka-Tolcsva}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,2,NULL,over 180 min
Kalsa - Olaszliszka-Tolcsva,Kalsa,Olaszliszka-Tolcsva,2,03:03:00,183,"{Kalsa,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Olaszliszka-Tolcsva}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,2,NULL,over 180 min
Kuzmice - Olaszliszka-Tolcsva,Kuzmice,Olaszliszka-Tolcsva,2,03:09:00,189,"{Kuzmice,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Olaszliszka-Tolcsva}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,2,NULL,over 180 min
Lastovce - Olaszliszka-Tolcsva,Lastovce,Olaszliszka-Tolcsva,3,03:27:00,207,"{Lastovce,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Olaszliszka-Tolcsva}",Michalany,Kosice,Miskolc-Tiszai,NULL,NULL,2,NULL,over 180 min
Bohdanovce - Sátoraljaújhely,Bohdanovce,Sátoraljaújhely,2,03:08:00,188,"{Bohdanovce,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sátoraljaújhely}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Trebejov - Sátoraljaújhely,Trebejov,Sátoraljaújhely,2,03:06:00,186,"{Trebejov,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sátoraljaújhely}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Trebisov - Sátoraljaújhely,Trebisov,Sátoraljaújhely,3,04:17:00,257,"{Trebisov,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sátoraljaújhely}",Michalany,Kosice,Miskolc-Tiszai,NULL,NULL,1,NULL,over 180 min
Velaty - Sátoraljaújhely,Velaty,Sátoraljaújhely,3,03:52:00,232,"{Velaty,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sátoraljaújhely}",Michalany,Kosice,Miskolc-Tiszai,NULL,NULL,1,NULL,over 180 min
Velka Lodina - Sátoraljaújhely,Velka Lodina,Sátoraljaújhely,2,03:15:00,195,"{""Velka Lodina"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sátoraljaújhely}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Vysna Mysla - Sátoraljaújhely,Vysna Mysla,Sátoraljaújhely,2,03:05:00,185,"{""Vysna Mysla"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sátoraljaújhely}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Celovce (Cselej) - Szegi,Celovce,Szegi,3,03:58:00,238,"{Celovce,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Szegi}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,5,NULL,over 180 min
Lastovce - Szegi,Lastovce,Szegi,4,03:32:00,212,"{Lastovce,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Szegi}",Michalany,Kosice,Miskolc-Tiszai,Szerencs,NULL,4,NULL,over 180 min
Mala Lodina - Szegi,Mala Lodina,Szegi,3,03:03:00,183,"{""Mala Lodina"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Szegi}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Slanec - Szegi,Slanec,Szegi,3,03:02:00,182,"{Slanec,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Szegi}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,5,NULL,over 180 min
Vysna Mysla - Hidasnémeti,Vysna Mysla,Hidasnémeti,1,00:52:00,52,"{""Vysna Mysla"",Kosice,Kosice,Hidasnémeti}",Kosice,NULL,NULL,NULL,NULL,1,NULL,within 60 min
Vysna Mysla - Bodrogkeresztúr,Vysna Mysla,Bodrogkeresztúr,3,02:44:00,164,"{""Vysna Mysla"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Bodrogkeresztúr}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,5,NULL,from 120 to 180 min
Cerhov - Szegi,Cerhov,Szegi,3,03:27:00,207,"{Cerhov,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Szegi}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,4,NULL,over 180 min
Kalsa - Szegi,Kalsa,Szegi,3,03:08:00,188,"{Kalsa,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Szegi}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,5,NULL,over 180 min
Kuzmice - Szegi,Kuzmice,Szegi,3,03:14:00,194,"{Kuzmice,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Szegi}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,5,NULL,over 180 min
Cerhov - Szerencs,Cerhov,Szerencs,2,03:03:00,183,"{Cerhov,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,5,NULL,over 180 min
Slovenske Nove Mesto (Kisújhely) - Szegi,Slovenske Nove Mesto,Szegi,3,03:32:00,212,"{""Slovenske Nove Mesto"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Szegi}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,4,NULL,over 180 min
Somotor - Szegi,Somotor,Szegi,3,03:48:00,228,"{Somotor,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Szegi}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,5,NULL,over 180 min
Stanca - Szegi,Stanca,Szegi,4,03:45:00,225,"{Stanca,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Szegi}",Michalany,Kosice,Miskolc-Tiszai,Szerencs,NULL,4,NULL,over 180 min
Streda Nad Bodrogom (Bodrogszerdahely) - Szegi,Streda Nad Bodrogom,Szegi,3,03:41:00,221,"{""Streda Nad Bodrogom"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Szegi}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,5,NULL,over 180 min
Trebisov - Szegi,Trebisov,Szegi,4,03:56:00,236,"{Trebisov,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Szegi}",Michalany,Kosice,Miskolc-Tiszai,Szerencs,NULL,4,NULL,over 180 min
Velaty - Szegi,Velaty,Szegi,4,03:38:00,218,"{Velaty,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Szegi}",Michalany,Kosice,Miskolc-Tiszai,Szerencs,NULL,4,NULL,over 180 min
Lastovce - Szerencs,Lastovce,Szerencs,3,03:05:00,185,"{Lastovce,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs}",Michalany,Kosice,Miskolc-Tiszai,NULL,NULL,1,NULL,over 180 min
Slovenske Nove Mesto (Kisújhely) - Szerencs,Slovenske Nove Mesto,Szerencs,2,03:08:00,188,"{""Slovenske Nove Mesto"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,5,NULL,over 180 min
Somotor - Szerencs,Somotor,Szerencs,2,03:23:00,203,"{Somotor,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Stanca - Szerencs,Stanca,Szerencs,3,03:18:00,198,"{Stanca,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs}",Michalany,Kosice,Miskolc-Tiszai,NULL,NULL,1,NULL,over 180 min
Streda Nad Bodrogom (Bodrogszerdahely) - Szerencs,Streda Nad Bodrogom,Szerencs,2,03:17:00,197,"{""Streda Nad Bodrogom"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,6,NULL,over 180 min
Velaty - Szerencs,Velaty,Szerencs,3,03:10:00,190,"{Velaty,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs}",Michalany,Kosice,Miskolc-Tiszai,NULL,NULL,1,NULL,over 180 min
Michalany (Alsómihályi) - Abaújszántó,Michalany,Abaújszántó,3,03:52:00,232,"{Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Abaújszántó}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Michalany (Alsómihályi) - Bodrogkeresztúr,Michalany,Bodrogkeresztúr,3,03:17:00,197,"{Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Bodrogkeresztúr}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,5,NULL,over 180 min
Michalany (Alsómihályi) - Bodrogolaszi,Michalany,Bodrogolaszi,3,03:36:00,216,"{Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Bodrogolaszi}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,5,NULL,over 180 min
Michalany (Alsómihályi) - Fony,Michalany,Fony,4,12:23:00,743,"{Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Abaújszántó,Abaújszántó,Fony}",Kosice,Miskolc-Tiszai,Szerencs,Abaújszántó,NULL,1,NULL,over 180 min
Michalany (Alsómihályi) - Rátka,Michalany,Rátka,3,03:34:00,214,"{Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Rátka}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Michalany (Alsómihályi) - Sárospatak,Michalany,Sárospatak,2,03:28:00,208,"{Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sárospatak}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Michalany (Alsómihályi) - Sátoraljaújhely,Michalany,Sátoraljaújhely,2,03:38:00,218,"{Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sátoraljaújhely}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Michalany (Alsómihályi) - Szegi,Michalany,Szegi,3,03:21:00,201,"{Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Szegi}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,5,NULL,over 180 min
Somotor - Tállya,Somotor,Tállya,3,04:05:00,245,"{Somotor,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Tállya}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Stanca - Tállya,Stanca,Tállya,4,04:00:00,240,"{Stanca,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Tállya}",Michalany,Kosice,Miskolc-Tiszai,Szerencs,NULL,1,NULL,over 180 min
Streda Nad Bodrogom (Bodrogszerdahely) - Tállya,Streda Nad Bodrogom,Tállya,3,03:59:00,239,"{""Streda Nad Bodrogom"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Tállya}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,6,NULL,over 180 min
Bohdanovce - Tállya,Bohdanovce,Tállya,3,03:08:00,188,"{Bohdanovce,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Tállya}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Trebejov - Tállya,Trebejov,Tállya,4,03:05:00,185,"{Trebejov,Kysak,Kysak,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Tállya}",Kysak,Kosice,Miskolc-Tiszai,Szerencs,NULL,1,NULL,over 180 min
Trebisov - Tállya,Trebisov,Tállya,3,03:40:00,220,"{Trebisov,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Tállya}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Velaty - Tállya,Velaty,Tállya,4,03:52:00,232,"{Velaty,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Tállya}",Michalany,Kosice,Miskolc-Tiszai,Szerencs,NULL,1,NULL,over 180 min
Velka Lodina - Tállya,Velka Lodina,Tállya,3,03:15:00,195,"{""Velka Lodina"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Tállya}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Vysna Mysla - Tállya,Vysna Mysla,Tállya,3,03:05:00,185,"{""Vysna Mysla"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Tállya}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Vysna Mysla - Abaújszántó,Vysna Mysla,Abaújszántó,3,03:19:00,199,"{""Vysna Mysla"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Abaújszántó}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Vysna Mysla - Bodrogolaszi,Vysna Mysla,Bodrogolaszi,3,03:03:00,183,"{""Vysna Mysla"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Bodrogolaszi}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,5,NULL,over 180 min
Vysna Mysla - Fony,Vysna Mysla,Fony,4,11:50:00,710,"{""Vysna Mysla"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Abaújszántó,Abaújszántó,Fony}",Kosice,Miskolc-Tiszai,Szerencs,Abaújszántó,NULL,1,NULL,over 180 min
Vysna Mysla - Golop,Vysna Mysla,Golop,3,03:09:00,189,"{""Vysna Mysla"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Golop}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Cerhov - Tarcal,Cerhov,Tarcal,2,03:36:00,216,"{Cerhov,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Tarcal}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,5,NULL,over 180 min
Kalsa - Tarcal,Kalsa,Tarcal,2,03:14:00,194,"{Kalsa,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Tarcal}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Kuzmice - Tarcal,Kuzmice,Tarcal,2,03:20:00,200,"{Kuzmice,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Tarcal}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Lastovce - Tarcal,Lastovce,Tarcal,3,03:38:00,218,"{Lastovce,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Tarcal}",Michalany,Kosice,Miskolc-Tiszai,NULL,NULL,1,NULL,over 180 min
Mala Lodina - Tarcal,Mala Lodina,Tarcal,2,03:09:00,189,"{""Mala Lodina"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Tarcal}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Ruskov - Tarcal,Ruskov,Tarcal,2,03:03:00,183,"{Ruskov,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Tarcal}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Slanec - Tarcal,Slanec,Tarcal,2,03:09:00,189,"{Slanec,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Tarcal}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Slovenske Nove Mesto (Kisújhely) - Tarcal,Slovenske Nove Mesto,Tarcal,2,03:41:00,221,"{""Slovenske Nove Mesto"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Tarcal}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,5,NULL,over 180 min
Somotor - Tarcal,Somotor,Tarcal,2,03:56:00,236,"{Somotor,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Tarcal}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Stanca - Tarcal,Stanca,Tarcal,3,03:51:00,231,"{Stanca,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Tarcal}",Michalany,Kosice,Miskolc-Tiszai,NULL,NULL,1,NULL,over 180 min
Streda Nad Bodrogom (Bodrogszerdahely) - Tarcal,Streda Nad Bodrogom,Tarcal,2,03:50:00,230,"{""Streda Nad Bodrogom"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Tarcal}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,6,NULL,over 180 min
Trebisov - Tarcal,Trebisov,Tarcal,2,03:31:00,211,"{Trebisov,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Tarcal}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Velaty - Tarcal,Velaty,Tarcal,3,03:43:00,223,"{Velaty,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Tarcal}",Michalany,Kosice,Miskolc-Tiszai,NULL,NULL,1,NULL,over 180 min
Velka Lodina - Tarcal,Velka Lodina,Tarcal,2,03:06:00,186,"{""Velka Lodina"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Tarcal}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Celovce (Cselej) - Tokaj,Celovce,Tokaj,2,03:02:00,182,"{Celovce,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Tokaj}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Cerhov - Tokaj,Cerhov,Tokaj,2,03:16:00,196,"{Cerhov,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Tokaj}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,4,NULL,over 180 min
Kuzmice - Tokaj,Kuzmice,Tokaj,2,03:03:00,183,"{Kuzmice,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Tokaj}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,5,NULL,over 180 min
Lastovce - Tokaj,Lastovce,Tokaj,3,03:21:00,201,"{Lastovce,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Tokaj}",Michalany,Kosice,Miskolc-Tiszai,NULL,NULL,4,NULL,over 180 min
Slovenske Nove Mesto (Kisújhely) - Tokaj,Slovenske Nove Mesto,Tokaj,2,03:21:00,201,"{""Slovenske Nove Mesto"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Tokaj}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,4,NULL,over 180 min
Somotor - Tokaj,Somotor,Tokaj,2,03:37:00,217,"{Somotor,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Tokaj}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,5,NULL,over 180 min
Stanca - Tokaj,Stanca,Tokaj,3,03:34:00,214,"{Stanca,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Tokaj}",Michalany,Kosice,Miskolc-Tiszai,NULL,NULL,4,NULL,over 180 min
Celovce (Cselej) - Tállya,Celovce,Tállya,3,03:31:00,211,"{Celovce,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Tállya}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Cerhov - Tállya,Cerhov,Tállya,3,03:45:00,225,"{Cerhov,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Tállya}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,5,NULL,over 180 min
Kalsa - Tállya,Kalsa,Tállya,3,03:23:00,203,"{Kalsa,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Tállya}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Kostolany Nad Hornadom - Tállya,Kostolany Nad Hornadom,Tállya,3,03:01:00,181,"{""Kostolany Nad Hornadom"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Tállya}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,2,NULL,over 180 min
Kuzmice - Tállya,Kuzmice,Tállya,3,03:29:00,209,"{Kuzmice,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Tállya}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Lastovce - Tállya,Lastovce,Tállya,4,03:47:00,227,"{Lastovce,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Tállya}",Michalany,Kosice,Miskolc-Tiszai,Szerencs,NULL,1,NULL,over 180 min
Mala Lodina - Tállya,Mala Lodina,Tállya,3,03:18:00,198,"{""Mala Lodina"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Tállya}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Michalany (Alsómihályi) - Tállya,Michalany,Tállya,3,03:38:00,218,"{Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Tállya}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
