sector,muni,g_ord,sk_hobo
HU HOBO,ERDŐHORVÁTI,POP_15-64_2020,406
HU HOBO,ERDŐHORVÁTI,POP_above_65_2020,118
HU HOBO,FELSŐBERECKI,POP_0-14_2020,24
HU HOBO,FELSŐBERECKI,POP_15-64_2020,169
HU HOBO,FELSŐBERECKI,POP_above_65_2020,33
HU HOBO,FELSŐDOBSZA,POP_0-14_2020,139
HU HOBO,FELSŐDOBSZA,POP_15-64_2020,597
HU HOBO,FELSŐDOBSZA,POP_above_65_2020,133
HU HOBO,FELSŐREGMEC,POP_0-14_2020,99
HU HOBO,FELSŐREGMEC,POP_15-64_2020,184
HU HOBO,FELSŐREGMEC,POP_above_65_2020,11
HU HOBO,FILKEHÁZA,POP_0-14_2020,4
HU HOBO,FILKEHÁZA,POP_15-64_2020,48
HU HOBO,FILKEHÁZA,POP_above_65_2020,18
HU HOBO,FONY,POP_0-14_2020,43
HU HOBO,FONY,POP_15-64_2020,198
HU HOBO,FONY,POP_above_65_2020,38
HU HOBO,FÜZÉR,POP_0-14_2020,49
HU HOBO,FÜZÉR,POP_15-64_2020,213
HU HOBO,FÜZÉR,POP_above_65_2020,88
HU HOBO,FÜZÉRKAJATA,POP_0-14_2020,11
HU HOBO,FÜZÉRKAJATA,POP_15-64_2020,75
HU HOBO,FÜZÉRKAJATA,POP_above_65_2020,20
HU HOBO,FÜZÉRKOMLÓS,POP_0-14_2020,24
HU HOBO,FÜZÉRKOMLÓS,POP_15-64_2020,167
HU HOBO,FÜZÉRKOMLÓS,POP_above_65_2020,55
HU HOBO,FÜZÉRRADVÁNY,POP_0-14_2020,29
HU HOBO,FÜZÉRRADVÁNY,POP_15-64_2020,183
HU HOBO,FÜZÉRRADVÁNY,POP_above_65_2020,46
HU HOBO,Geča,POP_0-14_2020,302
HU HOBO,Geča,POP_15-64_2020,1309
HU HOBO,Geča,POP_above_65_2020,245
HU HOBO,GESZTELY,POP_0-14_2020,484
HU HOBO,GESZTELY,POP_15-64_2020,1608
HU HOBO,GESZTELY,POP_above_65_2020,413
HU HOBO,GIBÁRT,POP_0-14_2020,37
HU HOBO,GIBÁRT,POP_15-64_2020,237
HU HOBO,GIBÁRT,POP_above_65_2020,59
HU HOBO,GOLOP,POP_0-14_2020,81
HU HOBO,GOLOP,POP_15-64_2020,314
HU HOBO,GOLOP,POP_above_65_2020,150
HU HOBO,GÖNC,POP_0-14_2020,301
HU HOBO,GÖNC,POP_15-64_2020,1311
HU HOBO,GÖNC,POP_above_65_2020,315
HU HOBO,GÖNCRUSZKA,POP_0-14_2020,130
HU HOBO,GÖNCRUSZKA,POP_15-64_2020,469
HU HOBO,GÖNCRUSZKA,POP_above_65_2020,113
HU HOBO,Gyňov,POP_0-14_2020,109
HU HOBO,Gyňov,POP_15-64_2020,453
HU HOBO,Gyňov,POP_above_65_2020,118
HU HOBO,Haniska,POP_0-14_2020,267
HU HOBO,Haniska,POP_15-64_2020,1046
HU HOBO,Haniska,POP_above_65_2020,265
HU HOBO,HÁROMHUTA,POP_0-14_2020,7
HU HOBO,HÁROMHUTA,POP_15-64_2020,55
HU HOBO,HÁROMHUTA,POP_above_65_2020,35
HU HOBO,HEJCE,POP_0-14_2020,16
HU HOBO,HEJCE,POP_15-64_2020,148
HU HOBO,HEJCE,POP_above_65_2020,50
HU HOBO,HERCEGKÚT,POP_0-14_2020,98
HU HOBO,HERCEGKÚT,POP_15-64_2020,395
HU HOBO,HERCEGKÚT,POP_above_65_2020,144
HU HOBO,HERNÁDBŰD,POP_0-14_2020,10
HU HOBO,HERNÁDBŰD,POP_15-64_2020,84
HU HOBO,HERNÁDBŰD,POP_above_65_2020,26
HU HOBO,HERNÁDCÉCE,POP_0-14_2020,59
HU HOBO,HERNÁDCÉCE,POP_15-64_2020,128
HU HOBO,HERNÁDCÉCE,POP_above_65_2020,18
HU HOBO,HERNÁDKÉRCS,POP_0-14_2020,55
HU HOBO,HERNÁDKÉRCS,POP_15-64_2020,220
