sector,muni,g_ord,sk_hobo
HU HOBO,TÁLLYA,POP_above_65_2020,345
HU HOBO,TARCAL,POP_0-14_2020,416
HU HOBO,TARCAL,POP_15-64_2020,1833
HU HOBO,TARCAL,POP_above_65_2020,526
HU HOBO,TELKIBÁNYA,POP_0-14_2020,45
HU HOBO,TELKIBÁNYA,POP_15-64_2020,383
HU HOBO,TELKIBÁNYA,POP_above_65_2020,121
HU HOBO,TISZALADÁNY,POP_0-14_2020,94
HU HOBO,TISZALADÁNY,POP_15-64_2020,402
HU HOBO,TISZALADÁNY,POP_above_65_2020,126
HU HOBO,TISZANAGYFALU,POP_0-14_2020,267
HU HOBO,TISZANAGYFALU,POP_15-64_2020,1156
HU HOBO,TISZANAGYFALU,POP_above_65_2020,342
HU HOBO,TOKAJ,POP_0-14_2020,457
HU HOBO,TOKAJ,POP_15-64_2020,2422
HU HOBO,TOKAJ,POP_above_65_2020,971
HU HOBO,TOLCSVA,POP_0-14_2020,198
HU HOBO,TOLCSVA,POP_15-64_2020,1121
HU HOBO,TOLCSVA,POP_above_65_2020,317
HU HOBO,TORNYOSNÉMETI,POP_0-14_2020,55
HU HOBO,TORNYOSNÉMETI,POP_15-64_2020,396
HU HOBO,TORNYOSNÉMETI,POP_above_65_2020,84
HU HOBO,Trebejov,POP_0-14_2020,25
HU HOBO,Trebejov,POP_15-64_2020,139
HU HOBO,Trebejov,POP_above_65_2020,44
HU HOBO,Trebišov,POP_0-14_2020,4795
HU HOBO,Trebišov,POP_15-64_2020,16651
HU HOBO,Trebišov,POP_above_65_2020,3100
HU HOBO,Trstené pri Hornáde,POP_0-14_2020,244
HU HOBO,Trstené pri Hornáde,POP_15-64_2020,1097
HU HOBO,Trstené pri Hornáde,POP_above_65_2020,215
HU HOBO,VÁGÁSHUTA,POP_0-14_2020,7
HU HOBO,VÁGÁSHUTA,POP_15-64_2020,83
HU HOBO,VÁGÁSHUTA,POP_above_65_2020,11
HU HOBO,VAJDÁCSKA,POP_0-14_2020,218
HU HOBO,VAJDÁCSKA,POP_15-64_2020,841
HU HOBO,VAJDÁCSKA,POP_above_65_2020,207
HU HOBO,Valaliky,POP_0-14_2020,854
HU HOBO,Valaliky,POP_15-64_2020,3225
HU HOBO,Valaliky,POP_above_65_2020,526
HU HOBO,VÁMOSÚJFALU,POP_0-14_2020,80
HU HOBO,VÁMOSÚJFALU,POP_15-64_2020,450
HU HOBO,VÁMOSÚJFALU,POP_above_65_2020,161
HU HOBO,Veľaty,POP_0-14_2020,115
HU HOBO,Veľaty,POP_15-64_2020,530
HU HOBO,Veľaty,POP_above_65_2020,155
HU HOBO,Veľká Lodina,POP_0-14_2020,58
HU HOBO,Veľká Lodina,POP_15-64_2020,225
HU HOBO,Veľká Lodina,POP_above_65_2020,29
HU HOBO,Veľká Tŕňa,POP_0-14_2020,71
HU HOBO,Veľká Tŕňa,POP_15-64_2020,292
HU HOBO,Veľká Tŕňa,POP_above_65_2020,90
HU HOBO,Veľký Kamenec,POP_0-14_2020,89
HU HOBO,Veľký Kamenec,POP_15-64_2020,522
HU HOBO,Veľký Kamenec,POP_above_65_2020,141
HU HOBO,VILMÁNY,POP_0-14_2020,381
HU HOBO,VILMÁNY,POP_15-64_2020,934
HU HOBO,VILMÁNY,POP_above_65_2020,105
HU HOBO,VILYVITÁNY,POP_0-14_2020,26
HU HOBO,VILYVITÁNY,POP_15-64_2020,167
HU HOBO,VILYVITÁNY,POP_above_65_2020,51
HU HOBO,Viničky,POP_0-14_2020,75
HU HOBO,Viničky,POP_15-64_2020,329
HU HOBO,Viničky,POP_above_65_2020,84
HU HOBO,VIZSOLY,POP_0-14_2020,193
HU HOBO,VIZSOLY,POP_15-64_2020,504
HU HOBO,VIZSOLY,POP_above_65_2020,98
HU HOBO,Vyšná Hutka,POP_0-14_2020,86
HU HOBO,Vyšná Hutka,POP_15-64_2020,358
HU HOBO,Vyšná Hutka,POP_above_65_2020,73
HU HOBO,Vyšná Myšľa,POP_0-14_2020,147
HU HOBO,Vyšná Myšľa,POP_15-64_2020,647
HU HOBO,Vyšná Myšľa,POP_above_65_2020,181
HU HOBO,Vyšný Čaj,POP_0-14_2020,51
HU HOBO,Vyšný Čaj,POP_15-64_2020,166
HU HOBO,Vyšný Čaj,POP_above_65_2020,52
HU HOBO,ZALKOD,POP_0-14_2020,26
HU HOBO,ZALKOD,POP_15-64_2020,99
HU HOBO,ZALKOD,POP_above_65_2020,65
HU HOBO,Ždaňa,POP_0-14_2020,245
HU HOBO,Ždaňa,POP_15-64_2020,965
HU HOBO,Ždaňa,POP_above_65_2020,202
HU HOBO,Zemplín,POP_0-14_2020,56
HU HOBO,Zemplín,POP_15-64_2020,253
HU HOBO,Zemplín,POP_above_65_2020,55
HU HOBO,Zemplínska Nová Ves,POP_0-14_2020,140
HU HOBO,Zemplínska Nová Ves,POP_15-64_2020,574
HU HOBO,Zemplínska Nová Ves,POP_above_65_2020,151
HU HOBO,Zemplínska Teplica,POP_0-14_2020,459
HU HOBO,Zemplínska Teplica,POP_15-64_2020,1139
HU HOBO,Zemplínska Teplica,POP_above_65_2020,201
HU HOBO,Zemplínske Hradište,POP_0-14_2020,143
HU HOBO,Zemplínske Hradište,POP_15-64_2020,769
HU HOBO,Zemplínske Hradište,POP_above_65_2020,235
HU HOBO,Zemplínske Jastrabie,POP_0-14_2020,91
HU HOBO,Zemplínske Jastrabie,POP_15-64_2020,459
HU HOBO,Zemplínske Jastrabie,POP_above_65_2020,105
HU HOBO,Zemplínsky Branč,POP_0-14_2020,83
HU HOBO,Zemplínsky Branč,POP_15-64_2020,354
HU HOBO,Zemplínsky Branč,POP_above_65_2020,75
HU HOBO,ZSUJTA,POP_0-14_2020,10
HU HOBO,ZSUJTA,POP_15-64_2020,114
HU HOBO,ZSUJTA,POP_above_65_2020,34
HU HOBO,NULL,POP_0-14_2020,
HU HOBO,NULL,POP_15-64_2020,
HU HOBO,NULL,POP_above_65_2020,
