Column1,Column2,Column3,Column4
Alsóregmec,U, Activities of extra-territorial organizations and bodies,NULL
Alsóregmec,T, Activities of households as employers; undifferentiated goo,NULL
Alsóregmec,N, Administrative and support service activities,NULL
Alsóregmec,A," Agriculture, forestry and fishing",28
Alsóregmec,R," Arts, entertainment and recreation",NULL
Alsóregmec,F, Construction,NULL
Alsóregmec,P, Education,NULL
Alsóregmec,D," Electricity, gas, steam and air-conditioning supply",NULL
Alsóregmec,K, Financial and insurance activities,NULL
Alsóregmec,Q, Human health and social work activities,NULL
Alsóregmec,J, Information and communication,NULL
Alsóregmec,C, Manufacturing,NULL
Alsóregmec,B, Mining and quarrying,NULL
Alsóregmec,S, Other services,NULL
Alsóregmec,M," Professional, scientific and technical activities",NULL
Alsóregmec,O," Public administration and defence, compulsory social securi",NULL
Alsóregmec,L, Real estate activities*,NULL
Alsóregmec,H, Transportation and storage,NULL
Alsóregmec,E," Water supply, sewerage, waste management and remediation",NULL
Alsóregmec,G," Wholesale and retail trade, repair of motor vehicles and mo",NULL
Arka,I, Accommodation and Food service activities,NULL
Arka,U, Activities of extra-territorial organizations and bodies,NULL
Arka,T, Activities of households as employers; undifferentiated goo,NULL
Arka,N, Administrative and support service activities,NULL
Arka,A," Agriculture, forestry and fishing",13
Arka,R," Arts, entertainment and recreation",NULL
Arka,F, Construction,NULL
Arka,P, Education,NULL
Arka,D," Electricity, gas, steam and air-conditioning supply",NULL
Arka,K, Financial and insurance activities,NULL
Arka,Q, Human health and social work activities,NULL
Arka,J, Information and communication,NULL
Arka,C, Manufacturing,NULL
Arka,B, Mining and quarrying,NULL
Arka,S, Other services,NULL
Arka,M," Professional, scientific and technical activities",NULL
Arka,O," Public administration and defence, compulsory social securi",NULL
Arka,L, Real estate activities*,NULL
Arka,H, Transportation and storage,NULL
Arka,E," Water supply, sewerage, waste management and remediation",NULL
Arka,G," Wholesale and retail trade, repair of motor vehicles and mo",NULL
Baskó,I, Accommodation and Food service activities,NULL
Baskó,U, Activities of extra-territorial organizations and bodies,NULL
Baskó,T, Activities of households as employers; undifferentiated goo,NULL
Baskó,N, Administrative and support service activities,NULL
Baskó,A," Agriculture, forestry and fishing",34
Baskó,R," Arts, entertainment and recreation",NULL
Baskó,F, Construction,NULL
Baskó,P, Education,NULL
Baskó,D," Electricity, gas, steam and air-conditioning supply",NULL
Baskó,K, Financial and insurance activities,NULL
Baskó,Q, Human health and social work activities,NULL
Baskó,J, Information and communication,NULL
Baskó,C, Manufacturing,NULL
Baskó,B, Mining and quarrying,NULL
Baskó,S, Other services,NULL
Baskó,M," Professional, scientific and technical activities",NULL
Baskó,O," Public administration and defence, compulsory social securi",NULL
Baskó,L, Real estate activities*,NULL
Baskó,H, Transportation and storage,NULL
Baskó,E," Water supply, sewerage, waste management and remediation",NULL
Baskó,G," Wholesale and retail trade, repair of motor vehicles and mo",NULL
Bekecs,I, Accommodation and Food service activities,9
Bekecs,U, Activities of extra-territorial organizations and bodies,NULL
Bekecs,T, Activities of households as employers; undifferentiated goo,NULL
Bekecs,N, Administrative and support service activities,16
Bekecs,A," Agriculture, forestry and fishing",189
Bekecs,R," Arts, entertainment and recreation",15
Bekecs,F, Construction,31
Bekecs,P, Education,12
Bekecs,D," Electricity, gas, steam and air-conditioning supply",NULL
Bekecs,K, Financial and insurance activities,12
Bekecs,Q, Human health and social work activities,9
Bekecs,J, Information and communication,10
Bekecs,C, Manufacturing,21
Bekecs,B, Mining and quarrying,NULL
Bekecs,S, Other services,31
Bekecs,M," Professional, scientific and technical activities",32
Bekecs,O," Public administration and defence, compulsory social securi",NULL
Bekecs,L, Real estate activities*,19
Bekecs,H, Transportation and storage,5
Bekecs,E," Water supply, sewerage, waste management and remediation",NULL
Bekecs,G," Wholesale and retail trade, repair of motor vehicles and mo",46
Bodrogkeresztúr,I, Accommodation and Food service activities,14
Bodrogkeresztúr,U, Activities of extra-territorial organizations and bodies,NULL
Bodrogkeresztúr,T, Activities of households as employers; undifferentiated goo,NULL
Bodrogkeresztúr,N, Administrative and support service activities,5
Bodrogkeresztúr,A," Agriculture, forestry and fishing",165
Bodrogkeresztúr,R," Arts, entertainment and recreation",8
Bodrogkeresztúr,F, Construction,7
Bodrogkeresztúr,P, Education,6
Bodrogkeresztúr,D," Electricity, gas, steam and air-conditioning supply",NULL
Bodrogkeresztúr,K, Financial and insurance activities,NULL
Bodrogkeresztúr,Q, Human health and social work activities,NULL
Bodrogkeresztúr,J, Information and communication,NULL
Bodrogkeresztúr,C, Manufacturing,29
Bodrogkeresztúr,B, Mining and quarrying,NULL
Bodrogkeresztúr,S, Other services,24
Bodrogkeresztúr,M," Professional, scientific and technical activities",11
Bodrogkeresztúr,O," Public administration and defence, compulsory social securi",NULL
