Question,domestic,foreign
Košice (2019),305763,254817
Košice (2020),172037,65476
SK HOBO CORE districts (2019),93643,17715
SK HOBO CORE districts (2020),47501,3662
HU HOBO districts (2019),366366,102328
HU HOBO districts (2020),303228,35184
Miskolc district (2019),341088,80043
Miskolc district (2020),251902,25437
