full_name,total_st_area,within_st_area,pct,gids,category,part_vchu,legal_founds,legal_founds_1,national_deg_protection,current_degree_protection,size_protection_zone,code_eu_imp,sum_object_sizes
NPR Bujanovska dubina,0.00017499,0.000168656,0.963805638,3822,NPR,nie,"""1966/01/01 00:00:00.000"",""1966/01/01 00:00:00.000""","""Rozhodnutie Komisie Slovenskej národnej rady pre školstvo a kultúru ?. 30 z 25.5.1966
Úprava Komisie Slovenskej národnej rady pre školstvo a kultúru ?. školstvo a kultúru 6527/1966-osv./10 z 10.6.1966"",""Rozhodnutie Komisie Slovenskej národnej rady pre školstvo a kultúru ?. 30 z 25.5.1966
Úprava Komisie Slovenskej národnej rady pre školstvo a kultúru ?. školstvo a kultúru 6527/1966-osv./10 z 10.6.1966""",5,5,obvod 100 m,,142.738
NPR Humenec,0.000106782,0.000106782,1,23,NPR,nie,"""1953/01/01 00:00:00.000""","""Výnos Ministerstva ku.ltúry Slovenskej socialistickej republiky ?. 1160/1988-32 z 30.6.1988""",5,5,obvod 100 m,SKUEV0328,87.1223
NPR Kasvar,0.00013335,0.00013335,1,17,NPR,CHKO,"""1953/01/01 00:00:00.000""","""Vyhláška Ministerstva životného prostredia Slovenskej republiky ?. 83/1993 Z. z. z 23.3.1993""",5,"5, 4",obvod 100 m,SKUEV0032,109.742
NPR Maly Milic,1.7015E-05,1.7015E-05,1,24,NPR,nie,"""1950/01/01 00:00:00.000""","""Úprava Ministerstva kultúry Slovenskej socialistickej republiky ?. 2905/1986-32 z 31.3.1986""",5,5,obvod 100 m,SKUEV0327,13.9571
NPR Sivec,0.00020777,0.000207769,0.999994931,25,NPR,nie,"""1954/01/01 00:00:00.000""","""Výnos Ministerstva kultúry Slovenskej socialistickej republiky ?. 1160/1988-32 z 30.6.1988""",5,5,obvod 100 m,SKUEV0328,169.559
NPR Tajba,5.16992E-05,5.16992E-05,1,18,NPR,CHKO,"""1966/01/01 00:00:00.000""","""Rozhodnutie Komisie Slovenskej národnej rady pre školstvo a kultúru ?. 30 z 25.5.1966
Úprava ?. školstvo a kultúru 6527/1966-osv./15 z 10.6.1966""",5,4,obvod 100 m,SKUEV0019,42.5715
NPR Velky Milic,0.000124592,0.000124583,0.999932813,2640,NPR,nie,"""1967/01/01 00:00:00.000"",""1967/01/01 00:00:00.000""","""Rozhodnutie Komisie Slovenskej národnej rady pre kultúru a informácie ?. 6 z 25.4.1967"",""Rozhodnutie Komisie Slovenskej národnej rady pre kultúru a informácie ?. 6 z 25.4.1967""",5,"5, 2",obvod 100 m,SKUEV0327,102.2244
NPR Vozarska,0.000140935,0.000138958,0.985968893,2783,NPR,nie,"""1966/01/01 00:00:00.000"",""1966/01/01 00:00:00.000""","""Rozhodnutie Komisie Slovenskej národnej rady pre školstvo a kultúru ?. 30 z 25.5.1966
Úprava ?. školstvo a kultúru 6527/1966-osv./17 z 10.6.1966"",""Rozhodnutie Komisie Slovenskej národnej rady pre školstvo a kultúru ?. 30 z 25.5.1966
Úprava ?. školstvo a kultúru 6527/1966-osv./17 z 10.6.1966""",5,5,obvod 100 m,SKUEV0328,115.0306
PP Kavecianska stran,3.90892E-06,3.90892E-06,1,32,PP,nie,"""2000/01/01 00:00:00.000""","""Všeobecne záväzná vyhláška Krajského úradu v Košiciach ?. 1/2000 z 20.1.2000 - ú?innos? od 1.4.2000, 4. stupe? ochrany - Vyhláška Krajského úradu životného prostedia v Košiciach ?. 7/2004 z 22.9.2004 - ú?innos? od 1.10.2004""",4,4,obvod 60 m,SKUEV0328,3.19463
PP Milicska skala,1.4128E-05,1.4128E-05,1,33,PP,nie,"""1990/01/01 00:00:00.000""","""Nariadenie Okresného národného výboru Košice - vidiek ?. 51 zo d?a 21.11.1990""",5,5,obvod 60 m,SKUEV0327,11.59
