name,municipalities,n_municipalities,members_from_hobo,n_members_from_hobo,pct_members_from_hobo,pct_hobo_coverage,legal_found,seat
"MAS BODROG, oz.","Klin nad Bodrogom, Malý Horeš, Malý Kamenec, Pribeník, Somotor, Strážne, Streda nad Bodrogom, Svätuše, Svinice, Ve?ký Horeš, Ve?ký Kamenec",11,"Ve?ký Kamenec, Somotor, Klin nad Bodrogom, Malý Kamenec, Streda nad Bodrogom",5,45,6,08/10/2014,Malý Kamenec 147 076 36 Malý Kamenec
"MAS RO?AVA, o.z.","Brezina, ?e?ovce, Egreš, Kazimír, Kuzmice, Lastovce, Micha?any, Nižný Žipov, Slivník, Stan?a, Ve?aty, Zemplínska Nová Ves",12,"?e?ovce, Zemplínska Nová Ves, Kuzmice, Egreš, Micha?any, Ve?aty, Lastovce, Stan?a, Kazimír, Slivník, Brezina, Nižný Žipov",12,100,14,30/07/2014,"Stani?ná 8, 076 15 Ve?aty"
"MAS Se?ovský región, o.z.","Ba?kov, Dargov, Dvorianky, Hriadky, Kravany, Malé Ozorovce, Nový Ruskov, Parchovany, Plechotice, Se?ovce, Stankovce, Trnávka, Ve?ké Ozorovce, Viš?ov, Zbeh?ov, Zemplínska Teplica",16,"Plechotice, Zemplínska Teplica",2,13,2,19/04/2013,Námestie sv. Cyrila a Metoda 1 07801 Se?ovce
"MAS HORNÁD - SLANSKÉ VRCHY, o.z.","?a?a, Ge?a, Gy?ov, Haniska, Kokšov-Bakša, Košická Polianka, Nižná Hutka, Nižná Myš?a, Skároš, Soko?any, Trstené pri Hornáde, Valaliky, Vyšná Hutka, Vyšná Myš?a, Žda?a, Bohdanovce, Blažice, Kalša, Nižný ?aj, Nový Salaš, Ruskov, Slan?ík, Slanská Huta, Vyšný ?aj, Belža, Slanec, Rákoš, Se?a, Slanské Nové Mesto",29,"Žda?a, Haniska, Skároš, Slanské Nové Mesto, Gy?ov, Nižná Myš?a, Rákoš, Kalša, Bohdanovce, ?a?a, Nižný ?aj, Slanská Huta, Slanec, Se?a, Vyšný ?aj, Kokšov-Bakša, Slan?ík, Belža, Ge?a, Nový Salaš, Ruskov, Valaliky, Vyšná Myš?a, Blažice, Trstené pri Hornáde, Košická Polianka, Soko?any, Nižná Hutka, Vyšná Hutka",29,100,33,23/12/2009,Jarmo?ná 118/4 044 11 Žda?a
"MAS OLŠAVA - TORYSA, o.z.","Ba?kovík, Bidovce, Boliarov, ?akanovce, ?ur?ošík, ?urkov, Her?any, Košický Kle?enov, Košické O?šany, Mudrovce, Nižná Kamenica, Olšovany, Rankovce, Sady nad Torysou, Svinica, Trs?any, Vyšná Kamenica",17,"Olšovany, Sady nad Torysou",2,12,2,29/12/2009,Svinica 282 04445 Svinica
"MAS HORNÁD - ?IERNA HORA, o.z.","Bretejovce, Družstevná pri Hornáde, Janovík, Kosto?any nad Hornádom, Košická Belá, Kysak, Lemešany, Malá Lodina, Obišovce, Opátka, Soko?, Trebejov, Ve?ká Lodina",13,"Družstevná pri Hornáde, Ve?ká Lodina, Obišovce, Kysak, Malá Lodina, Soko?, Trebejov, Kosto?any nad Hornádom",8,62,9,24/04/2013,Trebejov 68 04481 Trebejov
"MAS TOKAJ - ROVINA, oz.","Bara, Borša, ?erhov, ?ernochov, Hra?, Hr?e?, Kašov, Kožuchov, Kysta, Ladmovce, Malá T??a, Novosad, Slovenské Nové Mesto, Sirník, Ve?ká T??a, Vini?ky, Zemplín, Zemplínske Hradište, Zemplínske Jastrabie, Zemplínsky Bran?",20,"?ernochov, Kašov, Zemplínsky Bran?, Ladmovce, Malá T??a, Zemplínske Hradište, Zemplín, Kysta, Hra?, Hr?e?, Slovenské Nové Mesto, Zemplínske Jastrabie, Sirník, Novosad, Kožuchov, Borša, ?erhov, Vini?ky, Bara, Ve?ká T??a",20,100,23,31/10/2008,Hlavná 27/61 07605 Zemplínske Jastrabie
