muni,index,nm3,nm4,ku,un_nnkp,zn_nnkp,c_uzpf_nnkp,index_po,un_po,bu_po,addr,r_num,o_num,parcel_nuk,est,p_style,author,protectet_unit,ownership_type,adresa,gps_latitude,gps_longitude,geom,route_in_500m,n_tracks_in_500,closest_track,closest_track_m,google_street_view,nearest_route_point,dmo_name,cat,marker_color,muni1,wine_region_tokaj_mun_network,zemplin_geopark,se,nw,idn3,cat_en,cat_rank,cat_rank_en
Košice,446,Košice I,Košice 1-Staré Mesto,Stredné Mesto,OPEVNENIE MESTSKÉ,mestské hradby,1049,11,MÚR HRADBOVÝ,kurtina,Mlynská ul.,"889,888,893,914","20,22","993/2,996/2,996/1,987/9,987/8,997/1,997/2,998 (hranica parc)",2/2 15.st.,renesancia,NULL,MPR,Súkromné vlastníctvo občanov,"Mlynská ul. 20,22, Košice 1-Staré Mesto, Okres Košice I",48.7213257,21.260999,0101000020E6100000E94999D4D0423540D5A18966545C4840,NULL,NULL,NULL,NULL,"http://maps.google.com/maps?q=&layer=c&cbll=48.7213257,21.260999&cbp=11,0,0,0,0",NULL,OOCR Košice Turizmus,"Pevnosti, opevenenia, reduty",#ffd8b1,NULL,NULL,NULL,NULL,NULL,NULL,"Fortresses and, redutas",10,"(10) Fortresses and, redutas"
Košice,1043,Košice I,Košice 1-Staré Mesto,Stredné Mesto,PEVNOSŤ,citadela,11689,1,PEVNOSŤ BASTIÓNOVÁ,skúmaná,Osloboditeľov nám.,NULL,NULL,2444/6,1671-1677,renesancia,J.L.de Sich,OPPR,Spoločnosť s ručením obmedzeným,"Osloboditeľov nám. Košice 1-Staré Mesto, Okres Košice I",48.7171794,21.2614793,0101000020E6100000BB14B24EF0423540B52EDA88CC5B4840,NULL,NULL,NULL,NULL,"http://maps.google.com/maps?q=&layer=c&cbll=48.7171794,21.2614793&cbp=11,0,0,0,0",NULL,OOCR Košice Turizmus,"Pevnosti, opevenenia, reduty",#ffd8b1,NULL,NULL,NULL,NULL,NULL,NULL,"Fortresses and, redutas",10,"(10) Fortresses and, redutas"
Košice,439,Košice I,Košice 1-Staré Mesto,Stredné Mesto,OPEVNENIE MESTSKÉ,mestské hradby,1049,4,MÚR HRADBOVÝ,kurtina,Štefánikova ul.,NULL,60,681/3,15.st.,renesancia,NULL,MPR,Spoločnosť s ručením obmedzeným,"Štefánikova ul. 60, Košice 1-Staré Mesto, Okres Košice I",48.726553,21.2579544,0101000020E6100000FBDBAF4C09423540C5E74EB0FF5C4840,NULL,NULL,NULL,NULL,"http://maps.google.com/maps?q=&layer=c&cbll=48.726553,21.2579544&cbp=11,0,0,0,0",NULL,OOCR Košice Turizmus,"Pevnosti, opevenenia, reduty",#ffd8b1,NULL,NULL,NULL,NULL,NULL,NULL,"Fortresses and, redutas",10,"(10) Fortresses and, redutas"
Košice,437,Košice I,Košice 1-Staré Mesto,Stredné Mesto,OPEVNENIE MESTSKÉ,mestské hradby,1049,2,PRACHÁREŇ,solitér,Továrenská ul.,312,3,671,1.pol.18.st.,eklektizmus,NULL,MPR,Spoločnosť s ručením obmedzeným,"Továrenská ul. 3, Košice 1-Staré Mesto, Okres Košice I",48.7264072,21.2550276,0101000020E6100000CE93217D494135401ACA3FE9FA5C4840,NULL,NULL,NULL,NULL,"http://maps.google.com/maps?q=&layer=c&cbll=48.7264072,21.2550276&cbp=11,0,0,0,0",NULL,OOCR Košice Turizmus,"Pevnosti, opevenenia, reduty",#ffd8b1,NULL,NULL,NULL,NULL,NULL,NULL,"Fortresses and, redutas",10,"(10) Fortresses and, redutas"
Geča,158,Košice - okolie,Geča,Geča,KAŠTIEĽ A KOSTOL,kaštieľ a kostol,418,2,KOSTOL,r.k.Narodenia Panny Márie,NULL,11,11,"1,5",1750,barok,NULL,NULL,Vlastníctvo cirkvi a cirk. organizácií,"Geča 11, Okres Košice - okolie",48.6272682,21.3070398,0101000020E610000004920B299A4E354010690A534A504840,NULL,NULL,NULL,NULL,"http://maps.google.com/maps?q=&layer=c&cbll=48.6272682,21.3070398&cbp=11,0,0,0,0",NULL,NULL,Kaštiele a paláce,#ffe119,Geča,False,False,True,NULL,806,Mansions and palaces,13,(13) Mansions and palaces
Košice,436,Košice I,Košice 1-Staré Mesto,Stredné Mesto,OPEVNENIE MESTSKÉ,mestské hradby,1049,1,BASTIÓN,päťboký,Továrenská ul.,313,3,"664,662/1",16.st.,barok,NULL,MPR,Spoločnosť s ručením obmedzeným,"Továrenská ul. 3, Košice 1-Staré Mesto, Okres Košice I",48.7264072,21.2550276,0101000020E6100000CE93217D494135401ACA3FE9FA5C4840,NULL,NULL,NULL,NULL,"http://maps.google.com/maps?q=&layer=c&cbll=48.7264072,21.2550276&cbp=11,0,0,0,0",NULL,OOCR Košice Turizmus,"Pevnosti, opevenenia, reduty",#ffd8b1,NULL,NULL,NULL,NULL,NULL,NULL,"Fortresses and, redutas",10,"(10) Fortresses and, redutas"
Košice,438,Košice I,Košice 1-Staré Mesto,Stredné Mesto,OPEVNENIE MESTSKÉ,mestské hradby,1049,3,MÚR PRIEKOPOVÝ,kontraeskarpa,Továrenská ul.,NULL,3,662/1 (hranica parcely),18.st.,barok,NULL,MPR,Spoločnosť s ručením obmedzeným,"Továrenská ul. 3, Košice 1-Staré Mesto, Okres Košice I",48.7264072,21.2550276,0101000020E6100000CE93217D494135401ACA3FE9FA5C4840,NULL,NULL,NULL,NULL,"http://maps.google.com/maps?q=&layer=c&cbll=48.7264072,21.2550276&cbp=11,0,0,0,0",NULL,OOCR Košice Turizmus,"Pevnosti, opevenenia, reduty",#ffd8b1,NULL,NULL,NULL,NULL,NULL,NULL,"Fortresses and, redutas",10,"(10) Fortresses and, redutas"
Košice,447,Košice I,Košice 1-Staré Mesto,Stredné Mesto,OPEVNENIE MESTSKÉ,mestské hradby,1049,12,MÚR HRADBOVÝ,kurtina,Zvonárska ul.,"160,158,159",23,1036,2/2 15.st.,renesancia,NULL,MPR,Vlastníctvo cirkvi a cirk. organizácií,"Zvonárska ul. 23, Košice 1-Staré Mesto, Okres Košice I",48.7205995,21.2608608,0101000020E6100000F3CEFCC5C7423540C901BB9A3C5C4840,NULL,NULL,NULL,NULL,"http://maps.google.com/maps?q=&layer=c&cbll=48.7205995,21.2608608&cbp=11,0,0,0,0",NULL,OOCR Košice Turizmus,"Pevnosti, opevenenia, reduty",#ffd8b1,NULL,NULL,NULL,NULL,NULL,NULL,"Fortresses and, redutas",10,"(10) Fortresses and, redutas"
Košice,448,Košice I,Košice 1-Staré Mesto,Stredné Mesto,OPEVNENIE MESTSKÉ,mestské hradby,1049,13,MÚR HRADBOVÝ,kurtina,Puškiniva ul.,867,3,1031,2/2 15.st.,renesancia,NULL,MPR,Vlastníctvo cirkvi a cirk. organizácií,"Puškiniva ul. 3, Košice 1-Staré Mesto, Okres Košice I",48.7206404,21.261979,0101000020E6100000213D450E114335409316D3F13D5C4840,NULL,NULL,NULL,NULL,"http://maps.google.com/maps?q=&layer=c&cbll=48.7206404,21.261979&cbp=11,0,0,0,0",NULL,OOCR Košice Turizmus,"Pevnosti, opevenenia, reduty",#ffd8b1,NULL,NULL,NULL,NULL,NULL,NULL,"Fortresses and, redutas",10,"(10) Fortresses and, redutas"
Košice,455,Košice I,Košice 1-Staré Mesto,Stredné Mesto,OPEVNENIE MESTSKÉ,mestské hradby,1049,20,BASTIÓN,päťboký,Poštová ul.,542,15,328,pred 1577,renesancia,NULL,MPR,vyšší územný celok,"Poštová ul. 15, Košice 1-Staré Mesto, Okres Košice I",48.7226033,21.2526019,0101000020E61000004F68A384AA403540A8BDD2437E5C4840,NULL,NULL,NULL,NULL,"http://maps.google.com/maps?q=&layer=c&cbll=48.7226033,21.2526019&cbp=11,0,0,0,0",NULL,OOCR Košice Turizmus,"Pevnosti, opevenenia, reduty",#ffd8b1,NULL,NULL,NULL,NULL,NULL,NULL,"Fortresses and, redutas",10,"(10) Fortresses and, redutas"
