index,nm4,name,adr,category,unit,police_scope,lat,lon,google_place_id
NULL,Slovenské Nové Mesto,Ambulancia rýchlej zdravotnej pomoci (Záchranná služba Košice),"Hlavná 79, 076 33 Slovenské Nové Mesto",Medical emergency service,Hospitals and Emergency services,NULL,48.4108358,21.6678004,EjU3OSAmIEhsYXZuw6EsIDA3NiAzMyBTbG92ZW5za8OpIE5vdsOpIE1lc3RvLCBTbG92YWtpYSJmImQKFAoSCW1_dNp3zjhHEVn6U-0dXf1EEhQKEgltf3Tad844RxFZ-lPtHV39RBoUChIJc_Qc8zkpOUcRN_HGGqnIaAMaFAoSCX1Tsql7zjhHESWvPt6edBETIgoNRujaHBV0PuoM
46,Slančík,DHZ Slančík,"Slančík 83, 044 17 Slančík",Voluntary fire brigade (Category c),Fire brigade,NULL,48.662258,21.489129,ChIJY-Jy4_TXPkcR0oJycJsv9XE
50,Sokoľ,DHZ Sokoľ,"Kostolianska 159, 044 31 Sokoľ",Voluntary fire brigade (Category c),Fire brigade,NULL,48.8115219,21.2200721,ChIJVVVZpYLmPkcRSQ6oWI72eRI
88,Zemplínska Teplica,DHZ Zemplínska Teplica,"Zemplínska Teplica, 07664",Voluntary fire brigade (Category b),Fire brigade,NULL,48.6460968,21.573834,ChIJAxgEl1zWPkcRAHyXxtH3AAQ
1,Košice-Juh,HS Košice - Teplárenská,Teplárenská 2,Professionall,Fire brigade,NULL,48.6983516,21.277177,EilUZXBsw6FyZW5za8OhIDIsIDA0MCAxMiBLb8WhaWNlLCBTbG92YWtpYSIaEhgKFAoSCYMkYwPv3z5HET7qCuSiqpOlEAI
0,Košice-Juh,HS Košice - Požiarnická,Požiarnická 4,Professionall,Fire brigade,NULL,48.7130121,21.263684,EilQb8W-aWFybmlja8OhIDQsIDA0MCAwMSBLb8WhaWNlLCBTbG92YWtpYSIaEhgKFAoSCR1zuR104D5HEZbMsf36yR1YEAQ
2,Košice-Šaca,HS Košice - Šaca,"Ranná 4, 040 15 Košice Šaca",Professionall,Fire brigade,NULL,48.6314349,21.1705289,ChIJO8bHKTgfP0cRjnIsCk79vI8
53,Trebejov,DHZ Trebejov,"Trebejov 68, 044 81 Trebejov",Voluntary fire brigade (Category c),Fire brigade,NULL,48.8334842,21.2200943,ChIJn59wNMXlPkcRpKhsby84ajc
60,Vyšný Čaj,DHZ Vyšný Čaj,"Vyšný Čaj 86, 044 16 Vyšný Čaj",Voluntary fire brigade (Category c),Fire brigade,NULL,48.6839046,21.3986901,ChIJsepn0cDYPkcR7DR1stJyQvE
NULL,Trebišov,21. zmiešaný mechanizovaný prápor,"Kpt. Nálepku 3644, 075 01 Trebišov",Mechanized battalion,Army,NULL,48.63689,21.7116796,ChIJrX7tWinVPkcR1JtOEf30v9w
15,Geča,DHZ Geča,"Kostolná 382, 044 10 Geča",Voluntary fire brigade (Category b),Fire brigade,NULL,48.6296796,21.3111822,EiVLb3N0b2xuw6EgMzgyLCAwNDQgMTAgR2XEjWEsIFNsb3Zha2lhIhsSGQoUChIJb9PZMyQhP0cRm8xrLSPhbqEQ_gI
22,Kokšov-Bakša,DHZ Kokšov-Bakša,"Kokšov - Bakša 178, 044 13 Kokšov - Bakša",Voluntary fire brigade (Category b),Fire brigade,NULL,48.6478946,21.3234584,ChIJD2COFMQgP0cRbk99VWB68sw
70,Kuzmice,DHZ Kuzmice,"Hlavná 286, 076 12 Kuzmice",Voluntary fire brigade (Category b),Fire brigade,NULL,48.5781105,21.5693735,ChIJQzDt0s4rP0cRNIegP87dmnc
74,Michaľany,DHZ Michaľany,"Hlavná 105, 076 14 Michaľany",Voluntary fire brigade (Category b),Fire brigade,NULL,48.51341,21.6205169,ChIJQ3cJRrUsP0cR_PXZnSPEwPs
44,Seňa,DHZ Seňa,044 58 Seňa,Voluntary fire brigade (Category b),Fire brigade,NULL,48.558853,21.2572586,ChIJM0LcHJojP0cRIEmXxtH3AAQ
NULL,Košice - Nad jazerom,Ambulancia rýchlej zdravotnej pomoci (Záchranná služba Košice),"Poludníková 7, 040 12 Nad jazerom",Medical emergency service,Hospitals and Emergency services,NULL,48.6826956,21.2963514,Ei1Qb2x1ZG7DrWtvdsOhIDcsIDA0MCAxMiBOYWQgamF6ZXJvbSwgU2xvdmFraWEiGhIYChQKEgl7mg-8h98-RxEI7TrojwZythAH
NULL,Košice - Staré Mesto,Železničná nemocnica s poliklinikou Košice,"Masarykova 9, 040 01 Košice",General and specialized hospitals,Hospitals and Emergency services,NULL,48.7279742,21.2591257,EiZNYXNhcnlrb3ZhIDksIDA0MCAwMSBLb8WhaWNlLCBTbG92YWtpYSIaEhgKFAoSCRX5qD5i4D5HEUkUzrFkMHspEAk
72,Ladmovce,DHZ Ladmovce,"Ladmovce 46, 076 34 Ladmovce",Voluntary fire brigade (Category c),Fire brigade,NULL,48.412194,21.7811121,ChIJuQ-wW_vPOEcR6FUBtiuKyCw
43,Sady nad Torysou,DHZ Sady nad Torysou,044 41 Sady nad Torysou-Byster,Voluntary fire brigade (Category c),Fire brigade,NULL,48.7076557,21.3461661,ChIJMeBBqB3fPkcRf2u2Adgpbog
45,Skároš,DHZ Skároš,044 11 Skároš,Voluntary fire brigade (Category c),Fire brigade,NULL,48.5884089,21.3760949,ChIJMeJRoyMmP0cRMEmXxtH3AAQ
47,Slanec,DHZ Slanec,"Hlavná 55/114, 044 17 Slanec",Voluntary fire brigade (Category b),Fire brigade,NULL,48.6354108,21.4756052,ChIJu_0MfwUoP0cRFnYRP8vpGP4
77,Slivník,DHZ Slivník,"Slivník 9, 076 12 Slivník",Voluntary fire brigade (Category b),Fire brigade,NULL,48.5980286,21.5545424,ChIJZzgxEIYpP0cRZEobjrBReW4
81,Streda nad Bodrogom,DHZ Streda nad Bodrogom,"Hlavná 391, 076 31 Streda nad Bodrogom",Voluntary fire brigade (Category a),Fire brigade,NULL,48.3699291,21.7533705,ChIJbdJ2oWTPOEcRX-ejxKpxPks
82,Trebišov,DHZ Trebišov,"M. R. Štefánika 862, 075 01 Trebišov",Voluntary fire brigade (Category b),Fire brigade,NULL,48.6190079,21.7191003,ChIJ5-xEKMgqOUcRGrMi1Z4bg4c
57,Valaliky,DHZ Valaliky,"Poľná 165, 044 13 Valaliky",Voluntary fire brigade (Category b),Fire brigade,NULL,48.6332542,21.2978209,ChIJC3GyLBkhP0cRcG5WkKpEM04
NULL,Košice - Staré Mesto,Univerzitná nemocnica - Nemocnica sv. Michala pracovisko Košice,"Murgašova 1, 040 01 Košice",General and specialized hospitals,Hospitals and Emergency services,NULL,48.7178092,21.2562805,ChIJHfH3z2_gPkcRlEUOyN5q6FE
83,Veľaty,DHZ Veľaty,"Staničná 8/12, 076 15 Veľaty",Voluntary fire brigade (Category b),Fire brigade,NULL,48.5236918,21.6627071,ChIJM9OQcmDTOEcRxv5qkNeRe9Q
87,Zemplínska Nová Ves,DHZ Zemplínska Nová Ves,"Hlavná 43, 076 16 Zemplínska Nová Ves-Úpor",Voluntary fire brigade (Category b),Fire brigade,NULL,48.5766431,21.6680035,ChIJe01WgM0qP0cRGE4-AcfrwCs
