index,from_a,to_b,route_time,route_km,operating,geom,dur_min,sector,inner_sector
0,Slovenské Nové Mesto,Slanec,29 min,33 km,TRUE,0101000020E61000009335EA211A7D3540115322895E524840,29,SK HOBO CORE,se
0,Somotor,Slanec,45 min,44 km,TRUE,0101000020E61000009335EA211A7D3540115322895E524840,45,SK HOBO CORE,se
0,Vyšná Myšľa,Slanec,13 min,12 km,TRUE,0101000020E61000009335EA211A7D3540115322895E524840,13,SK HOBO CORE,se
0,Streda nad Bodrogom,Slanec,38 min,41 km,TRUE,0101000020E61000009335EA211A7D3540115322895E524840,38,SK HOBO CORE,se
0,Bohdanovce,Slovenské Nové Mesto,41 min,43 km,TRUE,0101000020E61000006DAD2F12DAAA3540B129577897334840,41,SK HOBO CORE,se
0,Borša,Slovenské Nové Mesto,4 min,4 km,TRUE,0101000020E61000006DAD2F12DAAA3540B129577897334840,4,SK HOBO CORE,se
0,Ruskov,Somotor,49 min,51 km,TRUE,0101000020E61000000E3B53E8BCCE35402EC55565DF314840,49,SK HOBO CORE,se
0,Slanec,Somotor,42 min,44 km,TRUE,0101000020E61000000E3B53E8BCCE35402EC55565DF314840,42,SK HOBO CORE,se
0,Slovenské Nové Mesto,Somotor,12 min,11 km,TRUE,0101000020E61000000E3B53E8BCCE35402EC55565DF314840,12,SK HOBO CORE,se
0,Vyšná Myšľa,Somotor,56 min,56 km,TRUE,0101000020E61000000E3B53E8BCCE35402EC55565DF314840,56,SK HOBO CORE,se
0,Streda nad Bodrogom,Somotor,4 min,3 km,TRUE,0101000020E61000000E3B53E8BCCE35402EC55565DF314840,4,SK HOBO CORE,se
0,Lastovce,Stanča,11 min,10 km,TRUE,0101000020E6100000140BE82A82A835400BA59B6967484840,11,SK HOBO CORE,se
0,Michaľany,Stanča,14 min,11 km,TRUE,0101000020E6100000140BE82A82A835400BA59B6967484840,14,SK HOBO CORE,se
0,Slovenské Nové Mesto,Bohdanovce,40 min,43 km,TRUE,0101000020E61000000E3B53E8BC6635409E29745E63534840,40,SK HOBO CORE,se
0,Streda nad Bodrogom,Borša,3 min,4 km,TRUE,0101000020E61000005BD3BCE314B535403A6BB75D68324840,3,SK HOBO CORE,se
0,Bohdanovce,Čerhov,35 min,36 km,TRUE,0101000020E6100000772D211FF4A4354034A2B437F83A4840,35,SK HOBO CORE,se
