index,from_a,to_b,route_time,route_km,operating,geom,dur_min,sector,inner_sector
0,Stanča,Veľaty,7 min,6 km,TRUE,0101000020E6100000C898BB9690A735401757A6A9AF434840,7,SK HOBO CORE,se
0,Bohdanovce,Vyšná Myšľa,3 min,2 km,TRUE,0101000020E6100000EE3D5C72DC6135407DAEB6627F514840,3,SK HOBO CORE,se
0,Borša,Vyšná Myšľa,48 min,49 km,TRUE,0101000020E6100000EE3D5C72DC6135407DAEB6627F514840,48,SK HOBO CORE,se
0,Čerhov,Vyšná Myšľa,38 min,38 km,TRUE,0101000020E6100000EE3D5C72DC6135407DAEB6627F514840,38,SK HOBO CORE,se
0,Kalša,Vyšná Myšľa,19 min,17 km,TRUE,0101000020E6100000EE3D5C72DC6135407DAEB6627F514840,19,SK HOBO CORE,se
0,Kuzmice,Vyšná Myšľa,25 min,23 km,TRUE,0101000020E6100000EE3D5C72DC6135407DAEB6627F514840,25,SK HOBO CORE,se
0,Michaľany,Vyšná Myšľa,32 min,31 km,TRUE,0101000020E6100000EE3D5C72DC6135407DAEB6627F514840,32,SK HOBO CORE,se
0,Nižná Myšľa,Vyšná Myšľa,2 min,2 km,TRUE,0101000020E6100000EE3D5C72DC6135407DAEB6627F514840,2,SK HOBO CORE,se
0,Ruskov,Vyšná Myšľa,6 min,5 km,TRUE,0101000020E6100000EE3D5C72DC6135407DAEB6627F514840,6,SK HOBO CORE,se
0,Slanec,Vyšná Myšľa,13 min,12 km,TRUE,0101000020E6100000EE3D5C72DC6135407DAEB6627F514840,13,SK HOBO CORE,se
0,Somotor,Vyšná Myšľa,59 min,56 km,TRUE,0101000020E6100000EE3D5C72DC6135407DAEB6627F514840,59,SK HOBO CORE,se
0,Streda nad Bodrogom,Vyšná Myšľa,52 min,53 km,TRUE,0101000020E6100000EE3D5C72DC6135407DAEB6627F514840,52,SK HOBO CORE,se
0,Bohdanovce,Michaľany,28 min,29 km,TRUE,0101000020E61000004AACD6D358A0354077F8C66BB9424840,28,SK HOBO CORE,se
0,Borša,Michaľany,15 min,18 km,TRUE,0101000020E61000004AACD6D358A0354077F8C66BB9424840,15,SK HOBO CORE,se
0,Čerhov,Michaľany,5 min,7 km,TRUE,0101000020E61000004AACD6D358A0354077F8C66BB9424840,5,SK HOBO CORE,se
0,Kalša,Michaľany,12 min,14 km,TRUE,0101000020E61000004AACD6D358A0354077F8C66BB9424840,12,SK HOBO CORE,se
0,Kuzmice,Michaľany,6 min,8 km,TRUE,0101000020E61000004AACD6D358A0354077F8C66BB9424840,6,SK HOBO CORE,se
