index,from_a,to_b,n_transfers,via_stations,start_date,start_time,route_time,route_km,sector_from,sector_to,inner_sector_from,inner_sector_to,district_from,district_to,tvc_from,tvc_to,geopark_from,geopark_to,id_inner_sector_from,id_inner_sector_to
0,Trebišov,Streda nad Bodrogom,1,Michaľany,11.10. po,11.10. po,64,42,Trebišov,SK HOBO CORE,Trebišov,SK HOBO CORE Zemplin geopark outside of Tokaj Wine Route,Trebišov,Trebišov,TRUE,FALSE,FALSE,TRUE,2,5
0,Trebišov,Streda nad Bodrogom,1,Michaľany,11.10. po,11.10. po,64,42,Trebišov,SK HOBO CORE,Trebišov,SK HOBO CORE Zemplin geopark outside of Tokaj Wine Route,Trebišov,Trebišov,TRUE,FALSE,FALSE,TRUE,2,5
0,Trebišov,Streda nad Bodrogom,1,Michaľany,11.10. po,11.10. po,64,42,Trebišov,SK HOBO CORE,Trebišov,SK HOBO CORE Zemplin geopark outside of Tokaj Wine Route,Trebišov,Trebišov,TRUE,FALSE,FALSE,TRUE,2,5
0,Trebišov,Trebejov,1,Košice,11.10. po,11.10. po,79,67,Trebišov,SK HOBO CORE,Trebišov,SK HOBO CORE Northwest sector,Trebišov,Košice - okolie,TRUE,FALSE,FALSE,FALSE,2,3
0,Trebišov,Trebejov,2,"Michaľany, Košice",11.10. po,11.10. po,94,82,Trebišov,SK HOBO CORE,Trebišov,SK HOBO CORE Northwest sector,Trebišov,Košice - okolie,TRUE,FALSE,FALSE,FALSE,2,3
0,Trebišov,Trebejov,1,Košice,11.10. po,11.10. po,78,67,Trebišov,SK HOBO CORE,Trebišov,SK HOBO CORE Northwest sector,Trebišov,Košice - okolie,TRUE,FALSE,FALSE,FALSE,2,3
0,Trebišov,Veľká Lodina,1,Košice,11.10. po,11.10. po,88,76,Trebišov,SK HOBO CORE,Trebišov,SK HOBO CORE Northwest sector,Trebišov,Košice - okolie,TRUE,FALSE,FALSE,FALSE,2,3
0,Trebišov,Veľká Lodina,1,Košice,11.10. po,11.10. po,88,76,Trebišov,SK HOBO CORE,Trebišov,SK HOBO CORE Northwest sector,Trebišov,Košice - okolie,TRUE,FALSE,FALSE,FALSE,2,3
0,Trebišov,Veľká Lodina,1,Košice,11.10. po,11.10. po,88,76,Trebišov,SK HOBO CORE,Trebišov,SK HOBO CORE Northwest sector,Trebišov,Košice - okolie,TRUE,FALSE,FALSE,FALSE,2,3
0,Trebišov,Vyšná Myšľa,1,Michaľany,11.10. po,11.10. po,67,51,Trebišov,SK HOBO CORE,Trebišov,SK HOBO CORE Rest of southeast sector in Košice - vicinity district,Trebišov,Košice - okolie,TRUE,FALSE,FALSE,FALSE,2,7
0,Trebišov,Vyšná Myšľa,1,Košice,11.10. po,11.10. po,140,66,Trebišov,SK HOBO CORE,Trebišov,SK HOBO CORE Rest of southeast sector in Košice - vicinity district,Trebišov,Košice - okolie,TRUE,FALSE,FALSE,FALSE,2,7
0,Trebišov,Vyšná Myšľa,1,Košice,11.10. po,11.10. po,80,66,Trebišov,SK HOBO CORE,Trebišov,SK HOBO CORE Rest of southeast sector in Košice - vicinity district,Trebišov,Košice - okolie,TRUE,FALSE,FALSE,FALSE,2,7
