nam,objectid,min,nm4,status_en,further_use_en,poznamka,geom
Torysa,1074,98.0691474,Košická Polianka,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E610000001000000010100000070E853521D593540789A4CAF29584840
Torysa,1247,22.72867943,Vyšná Hutka,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000D0A4993DBC59354048B820608F564840
Torysa,1891,53.14349406,Nižná Hutka,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E610000001000000010100000040FBE58EDC5A354060DD01D61E554840
Torysa,1892,35.73686565,Nižná Hutka,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000A039ECE42A5B3540387BCC4C58544840
Trnávka,1956,81.34198318,Hraň,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka.,0104000020E6100000010000000101000000B0945C3A70C73540B8879BF88F464840
Trnávka,1957,66.38292176,Hraň,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka.,0104000020E6100000010000000101000000A09AA922F2C73540089DAF7D74464840
Trnávka,2903,52.38435189,Trebišov,abandoned landfill without overburden (illegal landfill),reclamation,Stará neriadená skládka.,0104000020E6100000010000000101000000D05C1006A8BC3540B0C4D045DE4C4840
Trstenský potok,1299,15.99271234,Trstené pri Hornáde,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E61000000100000001010000000065327AC053354050ABFC6050484840
not_labeled,708,25.66275828,Košická Polianka,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000503E37208158354058830C5E205A4840
not_labeled,1606,13.12763297,Kuzmice,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka.,0104000020E6100000010000000101000000E0E67E424E9235404842C8D7B04A4840
not_labeled,2034,65.3672804,Kostoľany nad Hornádom,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E610000001000000010100000070EC26265F3E3540606835C4FB644840
not_labeled,2170,7.68058099,Blažice,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000C0039A47FF6A354000E350944B554840
not_labeled,2199,22.4569335,Černochov,abandoned landfill without overburden (illegal landfill),reclamation,Stará neriadená skládka.,0104000020E6100000010000000101000000A0C8A1F26DBB3540101E5FA8A7374840
not_labeled,2244,88.11342118,Slanec,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000600BDABBF17D354098F051DAF6514840
not_labeled,3025,66.40786633,Skároš,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000F0B065E09D623540706ACBE6554A4840
not_labeled,3312,52.68752241,Streda nad Bodrogom,"modified (overlay, landscaping, etc.)",n/a,Čiastočne alebo úplne rekultivovaná.,0104000020E61000000100000001010000001087C143EBC0354000C1A6525C304840
not_labeled,6343,87.39116019,Košice-Staré Mesto,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka.,0104000020E6100000010000000101000000000C046E4E453540F8C904A85B5D4840
not_labeled,8430,3.43678055,Košice-Šaca,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka.,0104000020E610000001000000010100000050869DDBE4283540A0506E991B524840
