nace_root_code,nace_root_name,municipality_id,district_id,region_id,municipality,district_name,region_name,tvc_network,zemp_geopark,se,nw,n,min_emp,max_emp
A,"Agriculture, forestry and fishing",521981,806,8,Skároš,Košice - okolie,Košický kraj,False,False,True,NULL,5,7,11
A,"Agriculture, forestry and fishing",522007,806,8,Slanec,Košice - okolie,Košický kraj,False,False,True,NULL,9,15,24
A,"Agriculture, forestry and fishing",522015,806,8,Slanská Huta,Košice - okolie,Košický kraj,False,False,True,NULL,1,1,1
A,"Agriculture, forestry and fishing",522023,806,8,Slanské Nové Mesto,Košice - okolie,Košický kraj,False,False,True,NULL,3,3,3
A,"Agriculture, forestry and fishing",522031,806,8,Sokoľ,Košice - okolie,Košický kraj,False,False,NULL,True,9,11,15
A,"Agriculture, forestry and fishing",559865,806,8,Sokoľany,Košice - okolie,Košický kraj,False,False,True,NULL,4,4,4
A,"Agriculture, forestry and fishing",522082,806,8,Trebejov,Košice - okolie,Košický kraj,False,False,NULL,True,1,0,0
A,"Agriculture, forestry and fishing",522104,806,8,Trstené pri Hornáde,Košice - okolie,Košický kraj,False,False,True,NULL,6,4,4
A,"Agriculture, forestry and fishing",522139,806,8,Valaliky,Košice - okolie,Košický kraj,False,False,True,NULL,8,6,6
A,"Agriculture, forestry and fishing",522155,806,8,Veľká Lodina,Košice - okolie,Košický kraj,False,False,NULL,True,3,1,1
A,"Agriculture, forestry and fishing",522171,806,8,Vyšná Hutka,Košice - okolie,Košický kraj,False,False,True,NULL,1,3,4
A,"Agriculture, forestry and fishing",522198,806,8,Vyšná Myšľa,Košice - okolie,Košický kraj,False,False,True,NULL,5,2,2
A,"Agriculture, forestry and fishing",522261,806,8,Ždaňa,Košice - okolie,Košický kraj,False,False,True,NULL,9,19,28
A,"Agriculture, forestry and fishing",528129,811,8,Bara,Trebišov,Košický kraj,True,True,True,NULL,2,2,2
A,"Agriculture, forestry and fishing",528170,811,8,Borša,Trebišov,Košický kraj,True,True,True,NULL,10,9,10
A,"Agriculture, forestry and fishing",528200,811,8,Brehov,Trebišov,Košický kraj,False,True,True,NULL,4,12,20
A,"Agriculture, forestry and fishing",528218,811,8,Brezina,Trebišov,Košický kraj,False,True,True,NULL,8,7,7
A,"Agriculture, forestry and fishing",528226,811,8,Byšta,Trebišov,Košický kraj,False,True,True,NULL,3,2,2
A,"Agriculture, forestry and fishing",528234,811,8,Cejkov,Trebišov,Košický kraj,False,True,True,NULL,5,4,4
A,"Agriculture, forestry and fishing",528242,811,8,Čeľovce,Trebišov,Košický kraj,False,False,True,NULL,6,15,24
A,"Agriculture, forestry and fishing",528251,811,8,Čerhov,Trebišov,Košický kraj,True,True,True,NULL,5,5,5
A,"Agriculture, forestry and fishing",528269,811,8,Černochov,Trebišov,Košický kraj,True,True,True,NULL,1,1,1
A,"Agriculture, forestry and fishing",528358,811,8,Egreš,Trebišov,Košický kraj,False,False,True,NULL,2,2,2
A,"Agriculture, forestry and fishing",528366,811,8,Hraň,Trebišov,Košický kraj,False,True,True,NULL,17,20,21
A,"Agriculture, forestry and fishing",528374,811,8,Hrčeľ,Trebišov,Košický kraj,False,True,True,NULL,3,2,2
A,"Agriculture, forestry and fishing",528412,811,8,Kašov,Trebišov,Košický kraj,False,True,True,NULL,3,1,1
A,"Agriculture, forestry and fishing",528421,811,8,Kazimír,Trebišov,Košický kraj,False,True,True,NULL,11,34,58
A,"Agriculture, forestry and fishing",528439,811,8,Kožuchov,Trebišov,Košický kraj,False,False,True,NULL,11,9,9
A,"Agriculture, forestry and fishing",528471,811,8,Kuzmice,Trebišov,Košický kraj,False,False,True,NULL,9,9,9
A,"Agriculture, forestry and fishing",528480,811,8,Kysta,Trebišov,Košický kraj,False,True,True,NULL,8,4,4
A,"Agriculture, forestry and fishing",528498,811,8,Ladmovce,Trebišov,Košický kraj,True,True,True,NULL,4,3,3
A,"Agriculture, forestry and fishing",528501,811,8,Lastovce,Trebišov,Košický kraj,False,False,True,NULL,2,2,2
A,"Agriculture, forestry and fishing",528528,811,8,Luhyňa,Trebišov,Košický kraj,False,True,True,NULL,3,2,2
A,"Agriculture, forestry and fishing",513792,811,8,Malá Tŕňa,Trebišov,Košický kraj,True,True,True,NULL,7,7,8
A,"Agriculture, forestry and fishing",528561,811,8,Malý Kamenec,Trebišov,Košický kraj,False,True,True,NULL,9,8,8
A,"Agriculture, forestry and fishing",528587,811,8,Michaľany,Trebišov,Košický kraj,False,True,True,NULL,13,37,61
A,"Agriculture, forestry and fishing",528609,811,8,Nižný Žipov,Trebišov,Košický kraj,False,False,True,NULL,14,18,19
A,"Agriculture, forestry and fishing",528617,811,8,Novosad,Trebišov,Košický kraj,False,True,True,NULL,15,13,13
A,"Agriculture, forestry and fishing",528641,811,8,Plechotice,Trebišov,Košický kraj,False,False,True,NULL,10,10,10
A,"Agriculture, forestry and fishing",528706,811,8,Rad,Trebišov,Košický kraj,False,False,True,NULL,3,3,3
A,"Agriculture, forestry and fishing",543730,811,8,Sirník,Trebišov,Košický kraj,False,True,True,NULL,5,3,3
A,"Agriculture, forestry and fishing",543748,811,8,Slivník,Trebišov,Košický kraj,False,False,True,NULL,9,6,6
A,"Agriculture, forestry and fishing",543756,811,8,Slovenské Nové Mesto,Trebišov,Košický kraj,True,True,True,NULL,16,16,16
A,"Agriculture, forestry and fishing",543772,811,8,Somotor,Trebišov,Košický kraj,False,True,True,NULL,9,7,7
A,"Agriculture, forestry and fishing",513849,811,8,Stanča,Trebišov,Košický kraj,False,False,True,NULL,10,12,13
A,"Agriculture, forestry and fishing",543802,811,8,Streda nad Bodrogom,Trebišov,Košický kraj,False,True,True,NULL,20,63,93
A,"Agriculture, forestry and fishing",528153,811,8,Svätá Mária,Trebišov,Košický kraj,False,False,True,NULL,10,18,27
A,"Agriculture, forestry and fishing",528099,811,8,Trebišov,Trebišov,Košický kraj,NULL,NULL,NULL,NULL,87,145,215
A,"Agriculture, forestry and fishing",543845,811,8,Veľaty,Trebišov,Košický kraj,False,True,True,NULL,11,16,24
A,"Agriculture, forestry and fishing",513806,811,8,Veľká Tŕňa,Trebišov,Košický kraj,True,True,True,NULL,2,2,2
A,"Agriculture, forestry and fishing",543918,811,8,Veľký Kamenec,Trebišov,Košický kraj,False,True,True,NULL,9,16,24
A,"Agriculture, forestry and fishing",543926,811,8,Viničky,Trebišov,Košický kraj,True,True,True,NULL,3,2,2
A,"Agriculture, forestry and fishing",543993,811,8,Zemplín,Trebišov,Košický kraj,True,True,True,NULL,2,4,5
A,"Agriculture, forestry and fishing",544001,811,8,Zemplínska Nová Ves,Trebišov,Košický kraj,False,False,True,NULL,18,23,29
A,"Agriculture, forestry and fishing",544019,811,8,Zemplínska Teplica,Trebišov,Košický kraj,False,False,True,NULL,8,56,105
A,"Agriculture, forestry and fishing",544027,811,8,Zemplínske Hradište,Trebišov,Košický kraj,False,False,True,NULL,7,9,10
A,"Agriculture, forestry and fishing",544035,811,8,Zemplínske Jastrabie,Trebišov,Košický kraj,False,True,True,NULL,5,7,8
A,"Agriculture, forestry and fishing",544043,811,8,Zemplínsky Branč,Trebišov,Košický kraj,False,False,True,NULL,2,11,20
B,Mining and quarrying,598151,802,8,Košice-Sever,Košice I,Košický kraj,NULL,NULL,NULL,NULL,3,20,24
B,Mining and quarrying,598186,802,8,Košice-Staré Mesto,Košice I,Košický kraj,NULL,NULL,NULL,NULL,2,25,49
B,Mining and quarrying,598127,802,8,Košice-Ťahanovce,Košice I,Košický kraj,NULL,NULL,NULL,NULL,1,0,0
B,Mining and quarrying,598208,803,8,Košice-Pereš,Košice II,Košický kraj,NULL,NULL,NULL,NULL,2,26,50
B,Mining and quarrying,599841,803,8,Košice-Šaca,Košice II,Košický kraj,NULL,NULL,NULL,NULL,1,0,0
B,Mining and quarrying,598224,803,8,Košice-Západ,Košice II,Košický kraj,NULL,NULL,NULL,NULL,2,0,0
B,Mining and quarrying,599093,805,8,Košice-Barca,Košice IV,Košický kraj,NULL,NULL,NULL,NULL,1,50,99
B,Mining and quarrying,599824,805,8,Košice-Juh,Košice IV,Košický kraj,NULL,NULL,NULL,NULL,4,75,148
B,Mining and quarrying,599794,805,8,Košice-Krásna,Košice IV,Košický kraj,NULL,NULL,NULL,NULL,1,1,1
B,Mining and quarrying,599816,805,8,Košice-Nad jazerom,Košice IV,Košický kraj,NULL,NULL,NULL,NULL,2,0,0
B,Mining and quarrying,521345,806,8,Družstevná pri Hornáde,Košice - okolie,Košický kraj,False,False,NULL,True,1,2,2
B,Mining and quarrying,521582,806,8,Košická Polianka,Košice - okolie,Košický kraj,False,False,True,NULL,1,1,1
B,Mining and quarrying,521965,806,8,Sady nad Torysou,Košice - okolie,Košický kraj,False,False,True,NULL,1,1,1
B,Mining and quarrying,522031,806,8,Sokoľ,Košice - okolie,Košický kraj,False,False,NULL,True,1,1,1
B,Mining and quarrying,522139,806,8,Valaliky,Košice - okolie,Košický kraj,False,False,True,NULL,1,1,1
B,Mining and quarrying,528498,811,8,Ladmovce,Trebišov,Košický kraj,True,True,True,NULL,1,10,19
B,Mining and quarrying,543730,811,8,Sirník,Trebišov,Košický kraj,False,True,True,NULL,1,1,1
B,Mining and quarrying,528099,811,8,Trebišov,Trebišov,Košický kraj,NULL,NULL,NULL,NULL,2,10,19
C,Manufacturing,581704,406,4,Kuzmice,Topoľčany,Nitriansky kraj,False,False,True,NULL,14,18,22
C,Manufacturing,526118,608,6,Rákoš,Revúca,Banskobystrický kraj,False,False,True,NULL,2,2,2
C,Manufacturing,599891,802,8,Košice-Džungľa,Košice I,Košický kraj,NULL,NULL,NULL,NULL,9,18,27
C,Manufacturing,598119,802,8,Košice-Kavečany,Košice I,Košický kraj,NULL,NULL,NULL,NULL,18,16,17
C,Manufacturing,598151,802,8,Košice-Sever,Košice I,Košický kraj,NULL,NULL,NULL,NULL,331,550,770
C,Manufacturing,598186,802,8,Košice-Staré Mesto,Košice I,Košický kraj,NULL,NULL,NULL,NULL,527,1142,1843
C,Manufacturing,598127,802,8,Košice-Ťahanovce,Košice I,Košický kraj,NULL,NULL,NULL,NULL,51,317,591
C,Manufacturing,598194,803,8,Košice-Lorinčík,Košice II,Košický kraj,NULL,NULL,NULL,NULL,14,16,18
C,Manufacturing,599972,803,8,Košice-Luník IX,Košice II,Košický kraj,NULL,NULL,NULL,NULL,4,4,4
C,Manufacturing,598216,803,8,Košice-Myslava,Košice II,Košický kraj,NULL,NULL,NULL,NULL,56,75,108
C,Manufacturing,598208,803,8,Košice-Pereš,Košice II,Košický kraj,NULL,NULL,NULL,NULL,33,42,47
C,Manufacturing,599859,803,8,Košice-Poľov,Košice II,Košický kraj,NULL,NULL,NULL,NULL,18,19,20
C,Manufacturing,599841,803,8,Košice-Šaca,Košice II,Košický kraj,NULL,NULL,NULL,NULL,105,5916,11618
C,Manufacturing,599883,803,8,Košice-Sídlisko KVP,Košice II,Košický kraj,NULL,NULL,NULL,NULL,319,333,408
C,Manufacturing,598224,803,8,Košice-Západ,Košice II,Košický kraj,NULL,NULL,NULL,NULL,514,604,804
C,Manufacturing,599093,805,8,Košice-Barca,Košice IV,Košický kraj,NULL,NULL,NULL,NULL,82,1668,3269
C,Manufacturing,599824,805,8,Košice-Juh,Košice IV,Košický kraj,NULL,NULL,NULL,NULL,528,1796,2902
C,Manufacturing,599794,805,8,Košice-Krásna,Košice IV,Košický kraj,NULL,NULL,NULL,NULL,90,281,387
C,Manufacturing,599816,805,8,Košice-Nad jazerom,Košice IV,Košický kraj,NULL,NULL,NULL,NULL,280,1011,1606
C,Manufacturing,599786,805,8,Košice-Šebastovce,Košice IV,Košický kraj,NULL,NULL,NULL,NULL,8,20,33
C,Manufacturing,599913,805,8,Košice-Vyšné Opátske,Košice IV,Košický kraj,NULL,NULL,NULL,NULL,55,63,81
C,Manufacturing,521191,806,8,Blažice,Košice - okolie,Košický kraj,False,False,True,NULL,7,11,15
C,Manufacturing,559831,806,8,Bočiar,Košice - okolie,Košický kraj,False,False,True,NULL,2,1,1
C,Manufacturing,521205,806,8,Bohdanovce,Košice - okolie,Košický kraj,False,False,True,NULL,14,15,15
C,Manufacturing,521299,806,8,Čaňa,Košice - okolie,Košický kraj,False,False,True,NULL,74,179,269
C,Manufacturing,521345,806,8,Družstevná pri Hornáde,Košice - okolie,Košický kraj,False,False,NULL,True,27,27,31
C,Manufacturing,521370,806,8,Geča,Košice - okolie,Košický kraj,False,False,True,NULL,22,22,23
C,Manufacturing,521388,806,8,Gyňov,Košice - okolie,Košický kraj,False,False,True,NULL,2,1,1
C,Manufacturing,521400,806,8,Haniska,Košice - okolie,Košický kraj,False,False,True,NULL,18,40,68
C,Manufacturing,521507,806,8,Kalša,Košice - okolie,Košický kraj,False,False,True,NULL,5,3,3
C,Manufacturing,559687,806,8,Kechnec,Košice - okolie,Košický kraj,False,False,True,NULL,26,2112,4005
C,Manufacturing,521558,806,8,Kokšov-Bakša,Košice - okolie,Košický kraj,False,False,True,NULL,11,11,11
C,Manufacturing,521582,806,8,Košická Polianka,Košice - okolie,Košický kraj,False,False,True,NULL,13,11,11
C,Manufacturing,582514,806,8,Kostoľany nad Hornádom,Košice - okolie,Košický kraj,False,False,NULL,True,16,12,12
C,Manufacturing,521639,806,8,Kysak,Košice - okolie,Košický kraj,False,False,NULL,True,19,15,15
C,Manufacturing,521663,806,8,Malá Lodina,Košice - okolie,Košický kraj,False,False,NULL,True,5,5,5
C,Manufacturing,580252,806,8,Milhosť,Košice - okolie,Košický kraj,False,False,True,NULL,6,7,8
C,Manufacturing,518140,806,8,Nižná Hutka,Košice - okolie,Košický kraj,False,False,True,NULL,12,12,13
C,Manufacturing,521736,806,8,Nižná Myšľa,Košice - okolie,Košický kraj,False,False,True,NULL,16,37,45
C,Manufacturing,521744,806,8,Nižný Čaj,Košice - okolie,Košický kraj,False,False,True,NULL,3,3,3
C,Manufacturing,521809,806,8,Nový Salaš,Košice - okolie,Košický kraj,False,False,True,NULL,5,14,23
C,Manufacturing,521817,806,8,Obišovce,Košice - okolie,Košický kraj,False,False,NULL,True,5,5,5
C,Manufacturing,521825,806,8,Olšovany,Košice - okolie,Košický kraj,False,False,True,NULL,7,10,14
C,Manufacturing,521906,806,8,Rákoš,Košice - okolie,Košický kraj,False,False,True,NULL,2,2,2
C,Manufacturing,521957,806,8,Ruskov,Košice - okolie,Košický kraj,False,False,True,NULL,24,33,46
C,Manufacturing,521965,806,8,Sady nad Torysou,Košice - okolie,Košický kraj,False,False,True,NULL,28,26,32
C,Manufacturing,521973,806,8,Seňa,Košice - okolie,Košický kraj,False,False,True,NULL,29,277,527
C,Manufacturing,521981,806,8,Skároš,Košice - okolie,Košický kraj,False,False,True,NULL,13,15,17
C,Manufacturing,518115,806,8,Slančík,Košice - okolie,Košický kraj,False,False,True,NULL,3,5,6
C,Manufacturing,522007,806,8,Slanec,Košice - okolie,Košický kraj,False,False,True,NULL,20,18,18
C,Manufacturing,522015,806,8,Slanská Huta,Košice - okolie,Košický kraj,False,False,True,NULL,2,2,2
C,Manufacturing,522023,806,8,Slanské Nové Mesto,Košice - okolie,Košický kraj,False,False,True,NULL,11,13,17
C,Manufacturing,522031,806,8,Sokoľ,Košice - okolie,Košický kraj,False,False,NULL,True,11,11,11
C,Manufacturing,559865,806,8,Sokoľany,Košice - okolie,Košický kraj,False,False,True,NULL,10,10,10
C,Manufacturing,522082,806,8,Trebejov,Košice - okolie,Košický kraj,False,False,NULL,True,3,6,7
C,Manufacturing,522104,806,8,Trstené pri Hornáde,Košice - okolie,Košický kraj,False,False,True,NULL,23,18,18
C,Manufacturing,522139,806,8,Valaliky,Košice - okolie,Košický kraj,False,False,True,NULL,51,54,57
C,Manufacturing,522155,806,8,Veľká Lodina,Košice - okolie,Košický kraj,False,False,NULL,True,3,3,3
C,Manufacturing,522171,806,8,Vyšná Hutka,Košice - okolie,Košický kraj,False,False,True,NULL,8,9,9
C,Manufacturing,522198,806,8,Vyšná Myšľa,Košice - okolie,Košický kraj,False,False,True,NULL,6,7,8
C,Manufacturing,522201,806,8,Vyšný Čaj,Košice - okolie,Košický kraj,False,False,True,NULL,10,9,9
C,Manufacturing,522261,806,8,Ždaňa,Košice - okolie,Košický kraj,False,False,True,NULL,15,21,30
C,Manufacturing,528129,811,8,Bara,Trebišov,Košický kraj,True,True,True,NULL,5,4,5
C,Manufacturing,528170,811,8,Borša,Trebišov,Košický kraj,True,True,True,NULL,9,19,29
C,Manufacturing,528200,811,8,Brehov,Trebišov,Košický kraj,False,True,True,NULL,8,10,11
C,Manufacturing,528218,811,8,Brezina,Trebišov,Košický kraj,False,True,True,NULL,4,4,4
C,Manufacturing,528226,811,8,Byšta,Trebišov,Košický kraj,False,True,True,NULL,3,3,3
C,Manufacturing,528234,811,8,Cejkov,Trebišov,Košický kraj,False,True,True,NULL,22,19,19
C,Manufacturing,528242,811,8,Čeľovce,Trebišov,Košický kraj,False,False,True,NULL,21,20,20
C,Manufacturing,528251,811,8,Čerhov,Trebišov,Košický kraj,True,True,True,NULL,14,10,10
C,Manufacturing,528269,811,8,Černochov,Trebišov,Košický kraj,True,True,True,NULL,1,0,0
C,Manufacturing,528358,811,8,Egreš,Trebišov,Košický kraj,False,False,True,NULL,13,13,13
C,Manufacturing,528366,811,8,Hraň,Trebišov,Košický kraj,False,True,True,NULL,43,43,44
C,Manufacturing,528374,811,8,Hrčeľ,Trebišov,Košický kraj,False,True,True,NULL,9,12,16
C,Manufacturing,528412,811,8,Kašov,Trebišov,Košický kraj,False,True,True,NULL,6,6,6
C,Manufacturing,528421,811,8,Kazimír,Trebišov,Košický kraj,False,True,True,NULL,16,16,16
C,Manufacturing,513831,811,8,Klin nad Bodrogom,Trebišov,Košický kraj,False,True,True,NULL,1,1,1
C,Manufacturing,528439,811,8,Kožuchov,Trebišov,Košický kraj,False,False,True,NULL,4,4,4
C,Manufacturing,528471,811,8,Kuzmice,Trebišov,Košický kraj,False,False,True,NULL,24,35,46
C,Manufacturing,528480,811,8,Kysta,Trebišov,Košický kraj,False,True,True,NULL,5,9,13
C,Manufacturing,528498,811,8,Ladmovce,Trebišov,Košický kraj,True,True,True,NULL,11,5,9
C,Manufacturing,528501,811,8,Lastovce,Trebišov,Košický kraj,False,False,True,NULL,14,24,33
C,Manufacturing,528528,811,8,Luhyňa,Trebišov,Košický kraj,False,True,True,NULL,5,5,5
C,Manufacturing,513792,811,8,Malá Tŕňa,Trebišov,Košický kraj,True,True,True,NULL,9,43,80
C,Manufacturing,528561,811,8,Malý Kamenec,Trebišov,Košický kraj,False,True,True,NULL,2,2,2
C,Manufacturing,528587,811,8,Michaľany,Trebišov,Košický kraj,False,True,True,NULL,23,17,17
C,Manufacturing,528609,811,8,Nižný Žipov,Trebišov,Košický kraj,False,False,True,NULL,46,53,61
C,Manufacturing,528617,811,8,Novosad,Trebišov,Košický kraj,False,True,True,NULL,29,56,89
C,Manufacturing,528641,811,8,Plechotice,Trebišov,Košický kraj,False,False,True,NULL,9,8,8
C,Manufacturing,528706,811,8,Rad,Trebišov,Košický kraj,False,False,True,NULL,3,5,6
C,Manufacturing,543730,811,8,Sirník,Trebišov,Košický kraj,False,True,True,NULL,11,11,11
C,Manufacturing,543748,811,8,Slivník,Trebišov,Košický kraj,False,False,True,NULL,10,19,28
C,Manufacturing,543756,811,8,Slovenské Nové Mesto,Trebišov,Košický kraj,True,True,True,NULL,22,28,32
C,Manufacturing,543772,811,8,Somotor,Trebišov,Košický kraj,False,True,True,NULL,8,12,14
C,Manufacturing,513849,811,8,Stanča,Trebišov,Košický kraj,False,False,True,NULL,11,12,12
C,Manufacturing,543802,811,8,Streda nad Bodrogom,Trebišov,Košický kraj,False,True,True,NULL,45,112,184
C,Manufacturing,528153,811,8,Svätá Mária,Trebišov,Košický kraj,False,False,True,NULL,3,26,50
C,Manufacturing,528099,811,8,Trebišov,Trebišov,Košický kraj,NULL,NULL,NULL,NULL,380,984,1557
C,Manufacturing,543845,811,8,Veľaty,Trebišov,Košický kraj,False,True,True,NULL,13,14,15
C,Manufacturing,513806,811,8,Veľká Tŕňa,Trebišov,Košický kraj,True,True,True,NULL,5,28,52
C,Manufacturing,543918,811,8,Veľký Kamenec,Trebišov,Košický kraj,False,True,True,NULL,9,34,58
C,Manufacturing,543926,811,8,Viničky,Trebišov,Košický kraj,True,True,True,NULL,7,14,23
C,Manufacturing,543993,811,8,Zemplín,Trebišov,Košický kraj,True,True,True,NULL,1,1,1
C,Manufacturing,544001,811,8,Zemplínska Nová Ves,Trebišov,Košický kraj,False,False,True,NULL,9,9,9
C,Manufacturing,544019,811,8,Zemplínska Teplica,Trebišov,Košický kraj,False,False,True,NULL,24,25,25
C,Manufacturing,544027,811,8,Zemplínske Hradište,Trebišov,Košický kraj,False,False,True,NULL,19,18,18
C,Manufacturing,544035,811,8,Zemplínske Jastrabie,Trebišov,Košický kraj,False,True,True,NULL,6,6,6
C,Manufacturing,544043,811,8,Zemplínsky Branč,Trebišov,Košický kraj,False,False,True,NULL,6,4,4
D,"Electricity, gas, steam and air conditioning supply",598151,802,8,Košice-Sever,Košice I,Košický kraj,NULL,NULL,NULL,NULL,4,0,0
D,"Electricity, gas, steam and air conditioning supply",598186,802,8,Košice-Staré Mesto,Košice I,Košický kraj,NULL,NULL,NULL,NULL,16,1422,2723
D,"Electricity, gas, steam and air conditioning supply",598216,803,8,Košice-Myslava,Košice II,Košický kraj,NULL,NULL,NULL,NULL,3,0,0
