ownership_type_id,organization_size_id,sk_nace_category_id,legal_form_id,municipality_id,district_id,region_id,id,cin,tin,corporate_body_name,city,street,postal_code,last_updated_on,established_on,consolidated,data_source,created_at,updated_at,deleted,terminated_on,sid,region_name,region_en,district_name,district_en,municipality,mun_en,legal_form,lf_en,sk_nace_category,nace_en,organization_size,os_en,ownership_type,ow_en,min_emp,max_emp,sector,nace_g_name,nace_g_code,nace_cl_code,nace_cl_name,nace_root_code,nace_root_name,tvc_network,zemp_geopark,se,nw
2,3,46110,112,528099,811,8,1223145,46713778,2023534733,BREXTON s.r.o.,Trebišov,Stavebná 1807/41,7501,31/07/2017,13/06/2012,FALSE,SUSR,17/05/2016 23:29,01/08/2017 16:32,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Spol. s r. o.,Limited liability comp.,Sprostr.obch.s poľn.sur.,Agents of sale of agric.,2 zamestnanci,2 employees,Súkromné tuzemské,Private inland,2,2,Trebišov,Wholesale on a fee or contract basis,G46.1,G46,"Wholesale trade, except of motor vehicles and motorcycles",G,Wholesale and retail trade; repair of motor vehicles and motorcycles,NULL,NULL,NULL,NULL
2,0,46900,112,528099,811,8,1217676,46850384,2023613537,Ideal Sk s. r. o.,Trebišov,Komenského 3723,7501,31/07/2017,28/09/2012,FALSE,SUSR,17/05/2016 23:28,01/08/2017 16:27,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Spol. s r. o.,Limited liability comp.,Nešpecializ.veľkoobchod,Non-specialised wh.trade,nezistený,unknown,Súkromné tuzemské,Private inland,0,0,Trebišov,Non-specialised wholesale trade,G46.9,G46,"Wholesale trade, except of motor vehicles and motorcycles",G,Wholesale and retail trade; repair of motor vehicles and motorcycles,NULL,NULL,NULL,NULL
2,0,46900,112,528099,811,8,1217295,46651438,2023497190,3Mark s.r.o.,Trebišov,Cukrovarská 32/2,7501,31/07/2017,26/04/2012,FALSE,SUSR,17/05/2016 23:28,01/08/2017 16:27,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Spol. s r. o.,Limited liability comp.,Nešpecializ.veľkoobchod,Non-specialised wh.trade,nezistený,unknown,Súkromné tuzemské,Private inland,0,0,Trebišov,Non-specialised wholesale trade,G46.9,G46,"Wholesale trade, except of motor vehicles and motorcycles",G,Wholesale and retail trade; repair of motor vehicles and motorcycles,NULL,NULL,NULL,NULL
2,0,46190,101,528099,811,8,1214720,46703632,1049335397,Bc. Jindřich Sosna - KO CLUB,Trebišov,Budovateľská 1757/15,7501,31/07/2017,23/05/2012,FALSE,SUSR,17/05/2016 23:27,01/08/2017 16:25,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Živnostník,Entrepreneur,Sprostr.obch.s rozl.tov.,Agents of sale of var.go,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,Trebišov,Wholesale on a fee or contract basis,G46.1,G46,"Wholesale trade, except of motor vehicles and motorcycles",G,Wholesale and retail trade; repair of motor vehicles and motorcycles,NULL,NULL,NULL,NULL
2,0,46190,101,528099,811,8,1197807,46540521,1084537322,Igor Vodák - Au,Trebišov,Kapušanská 1192/29,7501,31/07/2017,01/03/2012,FALSE,SUSR,17/05/2016 23:25,01/08/2017 16:11,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Živnostník,Entrepreneur,Sprostr.obch.s rozl.tov.,Agents of sale of var.go,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,Trebišov,Wholesale on a fee or contract basis,G46.1,G46,"Wholesale trade, except of motor vehicles and motorcycles",G,Wholesale and retail trade; repair of motor vehicles and motorcycles,NULL,NULL,NULL,NULL
2,1,46190,101,528099,811,8,1195104,46613226,1084542371,Branko Milišič,Trebišov,Berehovská 2173/11,7501,31/07/2017,19/03/2012,FALSE,SUSR,17/05/2016 23:25,01/08/2017 16:09,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Živnostník,Entrepreneur,Sprostr.obch.s rozl.tov.,Agents of sale of var.go,0 zamestnancov,0 employees,Súkromné tuzemské,Private inland,1,1,Trebišov,Wholesale on a fee or contract basis,G46.1,G46,"Wholesale trade, except of motor vehicles and motorcycles",G,Wholesale and retail trade; repair of motor vehicles and motorcycles,NULL,NULL,NULL,NULL
2,0,46190,101,528099,811,8,1192343,46616764,1033258985,Antónia Slivková - AUTOCLUB,Trebišov,Slov. Nár. Povstania 712/147,7501,31/07/2017,01/04/2012,FALSE,SUSR,17/05/2016 23:25,01/08/2017 16:07,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Živnostník,Entrepreneur,Sprostr.obch.s rozl.tov.,Agents of sale of var.go,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,Trebišov,Wholesale on a fee or contract basis,G46.1,G46,"Wholesale trade, except of motor vehicles and motorcycles",G,Wholesale and retail trade; repair of motor vehicles and motorcycles,NULL,NULL,NULL,NULL
2,0,43390,101,528099,811,8,1922469,53165675,NULL,Martin Seman,Trebišov,Berehovská 2213/13,7501,10/08/2020,02/07/2020,FALSE,SUSR,11/08/2020 02:33,11/08/2020 02:33,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Živnostník,Entrepreneur,Ost.stav.kompletiz.práce,Oth.building completion,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,Trebišov,Building completion and finishing,F43.3,F43,Specialised construction activities,F,Construction,NULL,NULL,NULL,NULL
2,2,46190,101,528099,811,8,1133066,46032941,1083195575,Romana Konturová,Trebišov,Slov. Nár. Povstania 2346/88,7501,07/04/2020,10/02/2011,FALSE,SUSR,17/05/2016 23:22,12/05/2020 20:04,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Živnostník,Entrepreneur,Sprostr.obch.s rozl.tov.,Agents of sale of var.go,1 zamestnanec,1 employees,Súkromné tuzemské,Private inland,1,1,Trebišov,Wholesale on a fee or contract basis,G46.1,G46,"Wholesale trade, except of motor vehicles and motorcycles",G,Wholesale and retail trade; repair of motor vehicles and motorcycles,NULL,NULL,NULL,NULL
2,0,46190,112,528099,811,8,1102293,46027947,2023203039,"AMFOOD, s.r.o.",Trebišov,M. R. Štefánika 3428/12,7501,31/07/2017,22/02/2011,FALSE,SUSR,17/05/2016 23:17,01/08/2017 15:28,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Spol. s r. o.,Limited liability comp.,Sprostr.obch.s rozl.tov.,Agents of sale of var.go,nezistený,unknown,Súkromné tuzemské,Private inland,0,0,Trebišov,Wholesale on a fee or contract basis,G46.1,G46,"Wholesale trade, except of motor vehicles and motorcycles",G,Wholesale and retail trade; repair of motor vehicles and motorcycles,NULL,NULL,NULL,NULL
