"y","ksk","hobo","ke","tv","ks","hobocore"
2010,"351","123","63","24","36","60"
2011,"346","124","64","24","36","60"
2012,"357","133","68","26","39","65"
2013,"346","133","68","25","40","65"
2014,"329","129","67","24","38","62"
2015,"351","139","71","28","40","68"
2016,"305","131","67","27","37","64"
2017,"289","124","67","23","34","57"
2018,"344","151","84","30","37","67"
2019,"373","189","117","32","40","72"
2020,"381","181","110","32","39","71"
