nam,cin,seat,established_on,member_mun,n_member_mun,other_mebers,name_en,web
Združenie Tokajská vínna cesta,42102014,"Dlhá 230, 07681 Čerhov",27/06/2008,"Malá Tŕňa, Veľká Tŕňa, Trebišov, Čerhov, Zemplín, Viničky, Bara, Černochov, Slovenské Nové Mesto, Borša, Ladmovce",11,18,Association of Tokaj Wine Road Wine,https://tokajregion.sk/
Geopark Zemplín,51430509,"Tokajská ulica 25/2, 07682 Malá Tŕňa",09/03/2018,"Malá Tŕňa, Veľká Tŕňa, Čerhov, Hraň, Kazimír, Novosad, Somotor, Veľaty, Zemplín, Cejkov, Viničky, Klin nad Bodrogom, Kysta, Hrčeľ, Kašov, Zemplínske Jastrabie, Bara, Černochov, Slovenské Nové Mesto, Borša, Sirník, Brehov, Brezina, Michaľany, Byšta, Luhyňa, Ladmovce, Malý Kamenec, Streda nad Bodrogom, Veľký Kamenec",30,0,Zemplín Geopark,http://www.geoparkzemplin.sk/
Košice Turizmus,42247632,Hlavná 59 04001 Košice-Staré Mesto,28/02/2012,Košice,1,46,Visit Kosice,https://www.visitkosice.org/
