full_name,total_st_area,within_st_area,pct,gids,category,part_vchu,legal_founds,legal_founds_1,national_deg_protection,current_degree_protection,size_protection_zone,code_eu_imp,sum_object_sizes
CHVU Volovske vrchy,1.49E-01,1.37E-02,0.092042884,72,CHVU,,"2004/04/01 00:00:00.000""""","Vyhláška Ministerstva životného prostredia Slovenskej republiky č. 196/2010 Z. z. zo 16. apríla 2010""""",,,,,121420.65
Dolny tok Ondavy (Natura 2000),9.64E-05,6.41E-05,0.664876037,46,Natura 2000,,NULL,"Výnos Ministerstva životného prostredia Slovenskej republiky č. 3/2004-5.1 zo 14. júla 2004""""",,,,skuev0843,79.2396
Hanistiansky les (Natura 2000),1.46E-04,1.46E-04,1,50,Natura 2000,,NULL,"Výnos Ministerstva životného prostredia Slovenskej republiky č. 3/2004-5.1 zo 14. júla 2004""""",,,,skuev0935,119.8534
Hornadske luky (Natura 2000),8.16E-05,8.00E-05,0.981131737,52,Natura 2000,,NULL,"Výnos Ministerstva životného prostredia Slovenskej republiky č. 3/2004-5.1 zo 14. júla 2004""""",,,,skuev0940,66.5084
Hornadske meandre (Natura 2000),0.000241661,0.000204956,0.848114258,54,Natura 2000,,NULL,"Výnos Ministerstva životného prostredia Slovenskej republiky č. 3/2004-5.1 zo 14. júla 2004""""",,,,skuev0944,198.3329
Kovacske luky (Natura 2000),0.00017778,0.00017777,0.999947959,77,Natura 2000,,"2004/05/01 00:00:00.000""""","Výnos Ministerstva životného prostredia Slovenskej republiky č. 3/2004-5.1 zo 14. júla 2004""""",,,,skuev0329,146.42
Ladmovske vapence (Natura 2000),0.000403725,0.000403725,1,65,Natura 2000,,"2004/05/01 00:00:00.000""""","Výnos Ministerstva životného prostredia Slovenskej republiky č. 3/2004-5.1 zo 14. júla 2004""""",,,,skuev0032,332.226
Latorica (Natura 2000),0.009292678,0.000726054,0.078131814,"60,44",Natura 2000,,"2004/05/01 00:00:00.000"",NULL""","Výnos Ministerstva životného prostredia Slovenskej republiky č. 3/2004-5.1 zo 14. júla 2004"",""Oznámenie Fedrálneho ministerstva zahraničných vecí č. 396/1990 Z. z.""""",,,,skuev0006,11967.13
Milic (Natura 2000),0.006233967,0.006233402,0.999909298,68,Natura 2000,,NULL,"Výnos Ministerstva životného prostredia Slovenskej republiky č. 3/2004-5.1 zo 14. júla 2004""""",,,,skuevV0327,5113.016
NPR Boksov,0.000179553,0.000179553,1,28,NPR,nie,"1954/01/01 00:00:00.000""""","Výnos Ministerstva kultúry Slovenskej socialistickej republiky č. 1160/1988-32 z 30.6.1988""""",5,5,obvod 100 m,SKUEV0328,146.489
NPR Bujanovska dubina,0.00017499,0.000168656,0.963805638,"38,22",NPR,nie,"1966/01/01 00:00:00.000"",""1966/01/01 00:00:00.000""""",Rozhodnutie Komisie Slovenskej národnej rady pre školstvo a kultúru č. 30 z 25.5.1966,,,,,
"Úprava Komisie Slovenskej národnej rady pre školstvo a kultúru č. školstvo a kultúru 6527/1966-osv./10 z 10.6.1966"",""Rozhodnutie Komisie Slovenskej národnej rady pre školstvo a kultúru č. 30 z 25.5.1966",,,,,,,,,,,,,
"Úprava Komisie Slovenskej národnej rady pre školstvo a kultúru č. školstvo a kultúru 6527/1966-osv./10 z 10.6.1966""""",5.00E+00,5.00E+00,obvod 100 m,,142.738,,,,,,,,
NPR Humenec,0.000106782,0.000106782,1,23,NPR,nie,"1953/01/01 00:00:00.000""""","Výnos Ministerstva ku.ltúry Slovenskej socialistickej republiky č. 1160/1988-32 z 30.6.1988""""",5,5,obvod 100 m,SKUEV0328,87.1223
NPR Kasvar,1.33E-04,1.33E-04,1,17,NPR,CHKO,"1953/01/01 00:00:00.000""""","Vyhláška Ministerstva životného prostredia Slovenskej republiky č. 83/1993 Z. z. z 23.3.1993""""",5,"5, 4",obvod 100 m,SKUEV0032,109.742
NPR Maly Milic,1.70E-05,1.70E-05,1,24,NPR,nie,"1950/01/01 00:00:00.000""""","Úprava Ministerstva kultúry Slovenskej socialistickej republiky č. 2905/1986-32 z 31.3.1986""""",5,5,obvod 100 m,SKUEV0327,13.9571
NPR Sivec,0.00020777,0.000207769,0.999994931,25,NPR,nie,"1954/01/01 00:00:00.000""""","Výnos Ministerstva kultúry Slovenskej socialistickej republiky č. 1160/1988-32 z 30.6.1988""""",5,5,obvod 100 m,SKUEV0328,169.559
NPR Tajba,5.17E-05,5.17E-05,1,18,NPR,CHKO,"1966/01/01 00:00:00.000""""",Rozhodnutie Komisie Slovenskej národnej rady pre školstvo a kultúru č. 30 z 25.5.1966,,,,,
"Úprava č. školstvo a kultúru 6527/1966-osv./15 z 10.6.1966""""",5.00E+00,4.00E+00,obvod 100 m,SKUEV0019,42.5715,,,,,,,,
NPR Velky Milic,1.25E-04,1.25E-04,0.999932813,"26,40",NPR,nie,"1967/01/01 00:00:00.000"",""1967/01/01 00:00:00.000""""","Rozhodnutie Komisie Slovenskej národnej rady pre kultúru a informácie č. 6 z 25.4.1967"",""Rozhodnutie Komisie Slovenskej národnej rady pre kultúru a informácie č. 6 z 25.4.1967""""",5,"5, 2",obvod 100 m,SKUEV0327,102.2244
NPR Vozarska,1.41E-04,1.39E-04,0.985968893,"27,83",NPR,nie,"1966/01/01 00:00:00.000"",""1966/01/01 00:00:00.000""""",Rozhodnutie Komisie Slovenskej národnej rady pre školstvo a kultúru č. 30 z 25.5.1966,,,,,
"Úprava č. školstvo a kultúru 6527/1966-osv./17 z 10.6.1966"",""Rozhodnutie Komisie Slovenskej národnej rady pre školstvo a kultúru č. 30 z 25.5.1966",,,,,,,,,,,,,
"Úprava č. školstvo a kultúru 6527/1966-osv./17 z 10.6.1966""""",5.00E+00,5.00E+00,obvod 100 m,SKUEV0328,115.0306,,,,,,,,
PP Kavecianska stran,3.91E-06,3.91E-06,1,32,PP,nie,"2000/01/01 00:00:00.000""""","Všeobecne záväzná vyhláška Krajského úradu v Košiciach č. 1/2000 z 20.1.2000 - účinnosť od 1.4.2000, 4. stupeň ochrany - Vyhláška Krajského úradu životného prostedia v Košiciach č. 7/2004 z 22.9.2004 - účinnosť od 1.10.2004""""",4,4,obvod 60 m,SKUEV0328,3.19463
PP Milicska skala,1.41E-05,1.41E-05,1,33,PP,nie,"1990/01/01 00:00:00.000""""","Nariadenie Okresného národného výboru Košice - vidiek č. 51 zo dňa 21.11.1990""""",5,5,obvod 60 m,SKUEV0327,11.59
PP Trstinove jazero,1.04E-06,1.04E-06,1,34,PP,nie,"1990/01/01 00:00:00.000""""","Nariadenie Okresného národného výboru Košice - vidiek zo 14.2.1990 č. 36 - účinnosť od 1.3.1990, 4. stupeň ochrany - Vyhláška Krajského úradu životného prostedia v Košiciach č. 7/2004 z 22.9.2004 - účinnosť od 1.10.2004""""",4,4,obvod 60 m,SKUEV0326,0.853781
PR Dlhe Tice,6.68E-05,1.12E-05,0.168248442,4,PR,CHKO,"1993/01/01 00:00:00.000""""","Vyhláška Ministerstva životného prostredia Slovenskej republiky č. 83/1993 Z. z. z 23. marca 1993""""",5,"5, 4",obvod 100 m,SKUEV0006,54.961
PR Krcmarka,3.13E-04,3.13E-04,1,"39,11",PR,nie,"1974/01/01 00:00:00.000"",""1974/01/01 00:00:00.000""""","Úprava Ministerstva kultúry Slovenskej socialistickej republiky č. 3583/1974-OP z 27.5.1974 - účinnosť od 1.6.1974, 4. stupeň ochrany - Vyhláška Krajského úradu životného prostedia v Košiciach č. 7/2004 z 22.9.2004 - účinnosť od 1.10.20"",""Úprava Ministerstva kultúry Slovenskej socialistickej republiky č. 3583/1974-OP z 27.5.1974 - účinnosť od 1.6.1974, 4. stupeň ochrany - Vyhláška Krajského úradu životného prostedia v Košiciach č. 7/2004 z 22.9.2004 - účinnosť od 1.10.20""""",4,4,obvod 100 m,,256.1632
PR Mala Izra,9.30E-07,9.30E-07,1,82,PR,nie,"1976/01/01 00:00:00.000""""","Výnos Ministerstva kultúry Slovenskej socialistickej republiky č. 1160/1988-32 z 30.6.1988""""",5,5,obvod 100 m,SKUEV0327,0.763043
PR Marocka hola,7.82E-05,7.82E-05,1,12,PR,nie,"1950/01/01 00:00:00.000""""","Úprava Ministerstva kultúry Slovenskej socialistickej republiky č. 2903/1986-32 z 31.3.1986 - účinnosť od 1.7.1986, 4. stupeň ochrany - Vyhláška Krajského úradu životného prostedia v Košiciach č. 7/2004 z 22.9.2004 - účinnosť od 1.10.20""""",4,4,obvod 100 m,SKUEV0327,64.1637
PR Slansky hradny vrch,1.92E-05,1.92E-05,1,14,PR,nie,"1932/01/01 00:00:00.000""""","Úprava Ministerstva kultúry Slovenskej socialistickej republiky č. 1563/1983-32 z 31.3.1983 - účinnosť od 1.5.1983, 4. stupeň ochrany - Vyhláška Krajského úradu životného prostedia v Košiciach č. 7/2004 z 22.9.2004 - účinnosť od 1.10.20""""",4,4,obvod 100 m,SKUEV0326,15.7719
PR Tarbucka,0.000236414,0.000236414,1,"8,61,55",PR,CHKO,"1986/01/01 00:00:00.000"",""2004/05/01 00:00:00.000"",""2017/11/01 00:00:00.000""""","Úprava Ministerstva kultúry Slovenskej socialistickej republiky č. 2910/1986-32 z 31. marca 1986"",""Výnos Ministerstva životného prostredia Slovenskej republiky č. 3/2004-5.1 zo 14. júla 2004"",""Výnos Ministerstva životného prostredia Slovenskej republiky č. 3/2004-5.1 zo 14. júla 2004""""",5,4,obvod 100 m,SKUEV0019,195.1402
PR Vysoky vrch,4.37E-05,4.37E-05,1,15,PR,nie,"1993/01/01 00:00:00.000""""","Vyhláška Ministerstva životného prostredia Slovenskej republiky č. 83/1993 Z. z. z 23. marca 1993""""",5,5,obvod 100 m,SKUEV0328,35.7012
PR Zemplinska jelsina,6.10E-05,6.10E-05,1,2,PR,nie,"1981/01/01 00:00:00.000""""","Úprava Ministerstva kultúry Slovenskej socialistickej republiky č. 3250/1981-32 z 30.6.1981""""",5,5,obvod 100 m,,50.1108
Strahulka (Natura 2000),0.001428309,0.001428309,1,71,Natura 2000,,NULL,"Výnos Ministerstva životného prostredia Slovenskej republiky č. 3/2004-5.1 zo 14. júla 2004""""",,,,skuev0326,1170.007
Stredne Pohornadie (Natura 2000),0.008687934,0.006919605,0.796461525,70,Natura 2000,,NULL,"Výnos Ministerstva životného prostredia Slovenskej republiky č. 3/2004-5.1 zo 14. júla 2004""""",,,,skuev0328,7092.96
Trebejovske skaly (Natura 2000),5.79E-05,5.79E-05,1,53,Natura 2000,,NULL,"Výnos Ministerstva životného prostredia Slovenskej republiky č. 3/2004-5.1 zo 14. júla 2004""""",,,,skuev0941,47.2466
